"Bin Center","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine"
0,0.0039062500,0.0231213873,0.0160481444,0.0389408100,0.0013698630,0.0017857143,0.0000000000,0.0024330900,0.0241545894,0.0449438202,0.02095808383234,0.01079913606911,0.00334448160535,0.01734104046243,0.01000000000000,0.00000000000000,0.00676818950931,0.01740812379110,,,0.01515151515152,0.01818181818182,0.02071346375144,0.01232394366197,0.00974930362117,0.00230414746544,0.00934579439252,0.00000000000000,0.04062500000000,0.02224969097651,0.00665188470067,0.00554016620499,0.01683029453015,0.01630988786952,0.02200220022002,0.00290697674419,0.01037344398340,0.02955665024631,,
2,0.0253906250,0.0722543353,0.0481444333,0.0919003115,0.0013698630,0.0107142857,0.0030581040,0.0170316302,0.0434782609,0.0936329588,0.06586826347305,0.03023758099352,0.01505016722408,0.06936416184971,0.03400000000000,0.02051282051282,0.02538071065990,0.05415860735010,,,0.04545454545455,0.04628099173554,0.05408515535098,0.03873239436620,0.04178272980501,0.01382488479263,0.08411214953271,0.01955990220049,0.07812500000000,0.03955500618047,0.03991130820399,0.04432132963989,0.04207573632539,0.04587155963303,0.05500550055006,0.01162790697674,0.04149377593361,0.05418719211823,,
4,0.0722656250,0.1286127168,0.1073219659,0.1433021807,0.0041095890,0.0375000000,0.0152905199,0.0754257908,0.0772946860,0.1136079900,0.14670658682635,0.05183585313175,0.05351170568562,0.11560693641619,0.09800000000000,0.05641025641026,0.03891708967851,0.08897485493230,,,0.08658008658009,0.07438016528926,0.07364787111623,0.09595070422535,0.04596100278552,0.02534562211982,0.23364485981308,0.11002444987775,0.16250000000000,0.05686032138443,0.14190687361419,0.14681440443213,0.05049088359046,0.07747196738022,0.08140814081408,0.12209302325581,0.10788381742739,0.07266009852217,,
6,0.2011718750,0.2124277457,0.2597793380,0.2523364486,0.0136986301,0.0910714286,0.0581039755,0.1873479319,0.1787439614,0.1847690387,0.24850299401198,0.20086393088553,0.22742474916388,0.26589595375723,0.23800000000000,0.23589743589744,0.11675126903553,0.18568665377176,,,0.21428571428571,0.15702479338843,0.13924050632911,0.20862676056338,0.06824512534819,0.07142857142857,0.41588785046729,0.28117359413203,0.31875000000000,0.13349814585909,0.31707317073171,0.31578947368421,0.08415147265077,0.20183486238532,0.18591859185919,0.38372093023256,0.25518672199170,0.14285714285714,,
8,0.3574218750,0.3309248555,0.4543630893,0.3816199377,0.0479452055,0.1982142857,0.1651376147,0.3187347932,0.3188405797,0.2734082397,0.40119760479042,0.39740820734341,0.40635451505017,0.44508670520231,0.40000000000000,0.34358974358974,0.22504230118443,0.30270793036751,,,0.35064935064935,0.25950413223141,0.27733026467204,0.35035211267606,0.11977715877437,0.20967741935484,0.58878504672897,0.50122249388753,0.49687500000000,0.24969097651422,0.50110864745011,0.42382271468144,0.14165497896213,0.33129459734964,0.30473047304731,0.61046511627907,0.43360995850622,0.25000000000000,,
10,0.4941406250,0.4797687861,0.5947843531,0.4937694704,0.1191780822,0.3464285714,0.3088685015,0.4744525547,0.4299516908,0.3720349563,0.52694610778443,0.57019438444924,0.53678929765886,0.56647398843931,0.57200000000000,0.52307692307692,0.35702199661591,0.42263056092843,,,0.48701298701299,0.38181818181818,0.42692750287687,0.45950704225352,0.20473537604457,0.36175115207373,0.74299065420561,0.64547677261614,0.60625000000000,0.37453646477132,0.64745011086475,0.55401662049862,0.23983169705470,0.45973496432212,0.44114411441144,0.76453488372093,0.57676348547718,0.37561576354680,,
12,0.6259765625,0.5968208092,0.6890672016,0.6121495327,0.2260273973,0.4696428571,0.4373088685,0.5888077859,0.5748792271,0.4444444444,0.63473053892216,0.70194384449244,0.61371237458194,0.69364161849711,0.70400000000000,0.60512820512821,0.50423011844332,0.54061895551257,,,0.63203463203463,0.49090909090909,0.52934407364787,0.56426056338028,0.29108635097493,0.49308755760369,0.78037383177570,0.72371638141809,0.70625000000000,0.46477132262052,0.74722838137472,0.65650969529086,0.32398316970547,0.56472986748216,0.53795379537954,0.86046511627907,0.70331950207469,0.47783251231527,,
14,0.7177734375,0.7008670520,0.7783350050,0.6915887850,0.3260273973,0.5910714286,0.5474006116,0.6739659367,0.6570048309,0.5330836454,0.68862275449102,0.78185745140389,0.68896321070234,0.76300578034682,0.79400000000000,0.68205128205128,0.60744500846024,0.63346228239845,,,0.74675324675325,0.58016528925620,0.64441887226697,0.64348591549296,0.36768802228412,0.60829493087558,0.83177570093458,0.79951100244499,0.77812500000000,0.55500618046972,0.81152993348115,0.72853185595568,0.40252454417952,0.66055045871560,0.63806380638064,0.88662790697674,0.79668049792531,0.57019704433498,,
16,0.7744140625,0.7890173410,0.8304914744,0.7538940810,0.4506849315,0.6553571429,0.6391437309,0.7469586375,0.7149758454,0.6229712859,0.73952095808383,0.86177105831534,0.75418060200669,0.83236994219653,0.85400000000000,0.76410256410256,0.69543147208122,0.69148936170213,,,0.81168831168831,0.63636363636364,0.74338319907940,0.70950704225352,0.44707520891365,0.68433179723502,0.85981308411215,0.84107579462103,0.85625000000000,0.62422744128554,0.86252771618625,0.79224376731302,0.50771388499299,0.74515800203874,0.70847084708471,0.92151162790698,0.85684647302905,0.66502463054187,,
18,0.8222656250,0.8352601156,0.8736208626,0.8115264798,0.5712328767,0.7517857143,0.7278287462,0.8102189781,0.7874396135,0.6828963795,0.77544910179641,0.88984881209503,0.81103678929766,0.87861271676301,0.91000000000000,0.84102564102564,0.76480541455161,0.74758220502901,,,0.85714285714286,0.70247933884298,0.80437284234753,0.77376760563380,0.52228412256267,0.75115207373272,0.90186915887851,0.87530562347188,0.88750000000000,0.70704573547590,0.90022172949002,0.84210526315790,0.59467040673212,0.80632008154944,0.76897689768977,0.93604651162791,0.90456431535270,0.74384236453202,,
