"Bin Center","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine"
0,0.09384164222874,0.04196816208394,0.03514056224900,0.02959501557632,0.04787961696306,0.05000000000000,0.03067484662577,0.02926829268293,0.00485436893204,0.01856435643564,0.03603603603604,0.02159827213823,0.05192629815745,0.01754385964912,0.04809619238477,0.00515463917526,0.04898648648649,0.07032755298651,,,0.04338394793926,0.06446280991736,0.02522935779817,0.07732864674868,0.02649930264993,0.02771362586605,0.02336448598131,0.02696078431373,0.00625000000000,0.06250000000000,0.08666666666667,0.03055555555556,0.05882352941176,0.10102040816327,0.12114537444934,0.05830903790087,0.06237006237006,0.04611650485437,,
50,0.46529814271750,0.30680173661360,0.40461847389558,0.28504672897196,0.31463748290014,0.27142857142857,0.15644171779141,0.21951219512195,0.09223300970874,0.32920792079208,0.16516516516517,0.19870410367171,0.28978224455611,0.12280701754386,0.23647294589178,0.07216494845361,0.27027027027027,0.44701348747592,,,0.22776572668113,0.30578512396694,0.37155963302752,0.49560632688928,0.31938633193863,0.22170900692841,0.11682242990654,0.18872549019608,0.15625000000000,0.30937500000000,0.24222222222222,0.18055555555556,0.33893557422969,0.46020408163265,0.42621145374449,0.20699708454811,0.24532224532225,0.37864077669903,,
100,0.66862170087977,0.48335745296672,0.64156626506024,0.47040498442368,0.51983584131327,0.42678571428571,0.27607361963190,0.35121951219512,0.16990291262136,0.55198019801980,0.29129129129129,0.36285097192225,0.43886097152429,0.18713450292398,0.39879759519038,0.12886597938144,0.45101351351351,0.65510597302505,,,0.36442516268981,0.46280991735537,0.58830275229358,0.72583479789104,0.51603905160391,0.39030023094688,0.21495327102804,0.30147058823529,0.23750000000000,0.53125000000000,0.36888888888889,0.29444444444444,0.53361344537815,0.66836734693878,0.61894273127753,0.28862973760933,0.38461538461539,0.56067961165049,,
150,0.80058651026393,0.63531114327062,0.79518072289157,0.60591900311527,0.68673050615595,0.55892857142857,0.37116564417178,0.44390243902439,0.24757281553398,0.72400990099010,0.36336336336336,0.49244060475162,0.58123953098828,0.22807017543860,0.51903807615231,0.23195876288660,0.58445945945946,0.78227360308285,,,0.48806941431670,0.58016528925620,0.72018348623853,0.84094903339192,0.64574616457462,0.48729792147806,0.28037383177570,0.41911764705882,0.35625000000000,0.68437500000000,0.48444444444444,0.40555555555556,0.67226890756303,0.77448979591837,0.73678414096916,0.38775510204082,0.49896049896050,0.69538834951456,,
200,0.86803519061584,0.73227206946454,0.87349397590361,0.71028037383178,0.77154582763338,0.65357142857143,0.46625766871166,0.51463414634146,0.32524271844660,0.81188118811881,0.45645645645646,0.58963282937365,0.66331658291457,0.28070175438597,0.59519038076152,0.28350515463918,0.67060810810811,0.87764932562620,,,0.57483731019523,0.66115702479339,0.82224770642202,0.90158172231986,0.73919107391911,0.56812933025404,0.33644859813084,0.50490196078431,0.42187500000000,0.77500000000000,0.57777777777778,0.48333333333333,0.74929971988796,0.84591836734694,0.82709251101322,0.46647230320700,0.60914760914761,0.80703883495146,,
250,0.91300097751711,0.80752532561505,0.92269076305221,0.77881619937695,0.82489740082079,0.72500000000000,0.52760736196319,0.58292682926829,0.36407766990291,0.86262376237624,0.53153153153153,0.66738660907127,0.76381909547739,0.32163742690059,0.67535070140281,0.34536082474227,0.75168918918919,0.92967244701349,,,0.65292841648590,0.73388429752066,0.89220183486239,0.94463971880492,0.82845188284519,0.63741339491917,0.39719626168224,0.57843137254902,0.50937500000000,0.83437500000000,0.64666666666667,0.56388888888889,0.80672268907563,0.89591836734694,0.88215859030837,0.55102040816327,0.71309771309771,0.87864077669903,,
300,0.94037145650049,0.86396526772793,0.95983935742972,0.83644859813084,0.88372093023256,0.78214285714286,0.59509202453988,0.67073170731707,0.41747572815534,0.91212871287129,0.56756756756757,0.74946004319654,0.82579564489112,0.36842105263158,0.74148296593186,0.37628865979381,0.81081081081081,0.96050096339114,,,0.72017353579176,0.79669421487603,0.92775229357798,0.96221441124780,0.86471408647141,0.71362586605081,0.46261682242991,0.65686274509804,0.55625000000000,0.88750000000000,0.71333333333333,0.62222222222222,0.85714285714286,0.93571428571429,0.91299559471366,0.62099125364432,0.75051975051975,0.91626213592233,,
350,0.96285434995112,0.90014471780029,0.97991967871486,0.88317757009346,0.90424076607387,0.85357142857143,0.64110429447853,0.72926829268293,0.46116504854369,0.94059405940594,0.63663663663664,0.78185745140389,0.85427135678392,0.38596491228070,0.80961923847695,0.42268041237113,0.85304054054054,0.97495183044316,,,0.77440347071584,0.85289256198347,0.95756880733945,0.97275922671353,0.90516039051604,0.75519630484989,0.51401869158879,0.70833333333333,0.59687500000000,0.91250000000000,0.77333333333333,0.65277777777778,0.88515406162465,0.95612244897959,0.94162995594714,0.67346938775510,0.79625779625780,0.93932038834952,,
400,0.97849462365591,0.92619392185239,0.98493975903615,0.91433021806854,0.93433652530780,0.88392857142857,0.68711656441718,0.78536585365854,0.50485436893204,0.95792079207921,0.69069069069069,0.82721382289417,0.88777219430486,0.42105263157895,0.85370741482966,0.46907216494845,0.88513513513514,0.98651252408478,,,0.81778741865510,0.88925619834711,0.97362385321101,0.98330404217926,0.93305439330544,0.78752886836028,0.54672897196262,0.75980392156863,0.65937500000000,0.93125000000000,0.79777777777778,0.70277777777778,0.91876750700280,0.97244897959184,0.96035242290749,0.70845481049563,0.83160083160083,0.95873786407767,,
450,0.98533724340176,0.95513748191028,0.99196787148594,0.93146417445483,0.95622435020520,0.89464285714286,0.74846625766871,0.81951219512195,0.55825242718447,0.97524752475248,0.72372372372372,0.84665226781857,0.91289782244556,0.47368421052632,0.87775551102204,0.51030927835052,0.90709459459460,0.99036608863199,,,0.84381778741866,0.92396694214876,0.98165137614679,0.98769771528998,0.95815899581590,0.81755196304850,0.57943925233645,0.80392156862745,0.69687500000000,0.95625000000000,0.83555555555556,0.74444444444444,0.94257703081233,0.98163265306122,0.97577092511013,0.74344023323615,0.86070686070686,0.96601941747573,,
