"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.471376609156276,0.0413311544890074,11.404873998418,3.95349311272253e-30,0.39036903491836,0.552384183394191,"DRL","Accuracy"
"fixed","cond","GenotypeNL3",-0.0426083377029132,0.0583908511216563,-0.729709139093375,0.465567993606718,-0.157052302928,0.0718356275221733,"DRL","Accuracy"
"fixed","cond","ReferenceWT",0.912915468941879,0.0501857313650088,18.1907375684555,6.11122235466384e-74,0.81455324292866,1.0112776949551,"DRL OT","Accuracy"
"fixed","cond","GenotypeNL3",-0.0759827336934734,0.0708665634499207,-1.07219441714805,0.283632717465895,-0.214878645763441,0.0629131783764938,"DRL OT","Accuracy"
"fixed","cond","ReferenceWT",0.632560413179488,0.0407181084609968,15.5351129285735,2.00718358612236e-54,0.552754387077339,0.712366439281638,"PRL","Accuracy"
"fixed","cond","GenotypeNL3",-0.065599404163343,0.057527020756844,-1.14032333502233,0.254151619543523,-0.178350292984645,0.0471514846579595,"PRL","Accuracy"
"fixed","cond","ReferenceWT",0.642466422029475,0.0397420231325736,16.1659213947488,8.77165859432509e-59,0.564573488016873,0.720359356042077,"PRL OT","Accuracy"
"fixed","cond","GenotypeNL3",-0.123486020588257,0.0560175662530201,-2.2044160224758,0.0274950998804328,-0.233278432945763,-0.0136936082307514,"PRL OT","Accuracy"
"fixed","cond","ReferenceWT",0.629161276480647,0.0382225044917554,16.4604932315819,7.05234474010988e-61,0.554246544277886,0.704076008683408,"PRL Baselining","Accuracy"
"fixed","cond","GenotypeNL3",-0.145526886136659,0.0538423357858085,-2.70283382050109,0.00687511094351216,-0.251055925120356,-0.0399978471529626,"PRL Baselining","Accuracy"
"fixed","cond","ReferenceWT",0.469609626445582,0.0468862590817611,10.0159329330725,1.297320772757e-23,0.377714247275516,0.561505005615647,"PRL Probe 1","Accuracy"
"fixed","cond","GenotypeNL3",-0.0915744665412371,0.0661122384071972,-1.38513637939792,0.16601076981404,-0.221152072756669,0.0380031396741951,"PRL Probe 1","Accuracy"
"fixed","cond","ReferenceWT",0.19321967823206,0.0397496999459436,4.86090910107052,1.16847901689456e-06,0.115311697941736,0.271127658522383,"PRL Probe 2","Accuracy"
"fixed","cond","GenotypeNL3",-0.0123718159966549,0.0561882589983354,-0.220185074554837,0.825727020184097,-0.122498779987401,0.097755147994091,"PRL Probe 2","Accuracy"
"fixed","cond","ReferenceWT",0.855913254102178,0.0477639651653199,17.9196440483889,8.28565831826054e-72,0.762297602619326,0.949528905585031,"PRL Probe 3","Accuracy"
"fixed","cond","GenotypeNL3",-0.255908134077852,0.0668434697045329,-3.82846873761997,0.0001289430057115,-0.386918927300431,-0.124897340855273,"PRL Probe 3","Accuracy"
