"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.436476143808908,0.0466813257997883,9.35012312377143,8.75457548257893e-21,0.344982426490743,0.527969861127074,"DRL","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0661380363201705,0.0480521048538854,-1.37638166988272,0.168703499914252,-0.160318431215128,0.0280423585747873,"DRL","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.285478223021941,0.0267206208630641,10.6838169848275,1.21184188343846e-26,0.233106768485786,0.337849677558096,"DRL OT","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0780130204770979,0.0363232158561137,-2.14774541951707,0.0317339850654929,-0.149205215357755,-0.00682082559644086,"DRL OT","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.22707685735175,0.027598421701555,8.22789287761901,1.90535356200577e-16,0.172984944786554,0.281168769916947,"PRL","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0546765480020706,0.0376168581629666,-1.45351182082237,0.146081700057439,-0.128404235213037,0.0190511392088955,"PRL","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.246096991889908,0.0301686808104655,8.15736668885226,3.4240765838896e-16,0.186967464040311,0.305226519739505,"PRL OT","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0719334344035813,0.0410214802230404,-1.75355530840105,0.0795067345964193,-0.152334058233263,0.00846718942609999,"PRL OT","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.235827449467224,0.0315625273926758,7.47175429056257,7.91326671966855e-14,0.173966032516521,0.297688866417928,"PRL Baselining","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0865678268611676,0.0428285551266148,-2.02126423843264,0.0432524190187746,-0.170510252419221,-0.00262540130311427,"PRL Baselining","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.19995011107542,0.0300438670854498,6.65527212281721,2.82776365520208e-11,0.14106521363163,0.25883500851921,"PRL Probe 1","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.0369488242152099,0.0419201891955048,-0.881408813373678,0.378096589125188,-0.119110885263504,0.0452132368330845,"PRL Probe 1","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.221480367852877,0.0328932812491595,6.73330113147457,1.65856301072677e-11,0.157010721271177,0.285950014434576,"PRL Probe 2","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.101181512040735,0.0450072893539331,-2.24811388317685,0.0245689290327637,-0.189394178216217,-0.012968845865253,"PRL Probe 2","Reward Collection Latency"
"fixed","cond","ReferenceWT",0.215472813409165,0.0298600385316752,7.21609294578084,5.35024954552538e-13,0.156948213310104,0.273997413508227,"PRL Probe 3","Reward Collection Latency"
"fixed","cond","GenotypeNL3",-0.119941669657349,0.0381852562757365,-3.14104660686963,0.00168345240139734,-0.194783396698225,-0.0450999426164736,"PRL Probe 3","Reward Collection Latency"
