mouse_id,genotype,session_id,seg_id,p_right
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,0.477777777777778
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,0.544444444444444
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,0.477777777777778
482,WT,4,482__MOUSE DRL Overtraining__4__WT__1,0.533333333333333
482,WT,5,482__MOUSE DRL Overtraining__5__WT__1,0.522222222222222
482,WT,6,482__MOUSE DRL Overtraining__6__WT__1,0.488888888888889
483,NL3,1,483__MOUSE DRL Overtraining__1__NL3__1,0.444444444444444
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,0.566666666666667
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,0.488888888888889
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,0.455555555555556
483,NL3,5,483__MOUSE DRL Overtraining__5__NL3__1,0.488888888888889
483,NL3,6,483__MOUSE DRL Overtraining__6__NL3__1,0.522222222222222
484,NL3,1,484__MOUSE DRL Overtraining__1__NL3__1,0.533333333333333
484,NL3,2,484__MOUSE DRL Overtraining__2__NL3__1,0.444444444444444
484,NL3,3,484__MOUSE DRL Overtraining__3__NL3__1,0.466666666666667
484,NL3,4,484__MOUSE DRL Overtraining__4__NL3__1,0.466666666666667
484,NL3,5,484__MOUSE DRL Overtraining__5__NL3__1,0.566666666666667
484,NL3,6,484__MOUSE DRL Overtraining__6__NL3__1,0.433333333333333
485,NL3,1,485__MOUSE DRL Overtraining__1__NL3__1,0.555555555555556
485,NL3,2,485__MOUSE DRL Overtraining__2__NL3__1,0.455555555555556
485,NL3,3,485__MOUSE DRL Overtraining__3__NL3__1,0.4
485,NL3,4,485__MOUSE DRL Overtraining__4__NL3__1,0.511111111111111
485,NL3,5,485__MOUSE DRL Overtraining__5__NL3__1,0.544444444444444
485,NL3,6,485__MOUSE DRL Overtraining__6__NL3__1,0.544444444444444
494,NL3,1,494__MOUSE DRL Overtraining__1__NL3__1,0.511111111111111
494,NL3,2,494__MOUSE DRL Overtraining__2__NL3__1,0.511111111111111
494,NL3,3,494__MOUSE DRL Overtraining__3__NL3__1,0.566666666666667
494,NL3,4,494__MOUSE DRL Overtraining__4__NL3__1,0.577777777777778
494,NL3,5,494__MOUSE DRL Overtraining__5__NL3__1,0.411111111111111
494,NL3,6,494__MOUSE DRL Overtraining__6__NL3__1,0.477777777777778
495,WT,1,495__MOUSE DRL Overtraining__1__WT__1,0.477777777777778
495,WT,2,495__MOUSE DRL Overtraining__2__WT__1,0.433333333333333
495,WT,3,495__MOUSE DRL Overtraining__3__WT__1,0.433333333333333
495,WT,4,495__MOUSE DRL Overtraining__4__WT__1,0.511111111111111
495,WT,5,495__MOUSE DRL Overtraining__5__WT__1,0.488888888888889
495,WT,6,495__MOUSE DRL Overtraining__6__WT__1,0.533333333333333
496,NL3,1,496__MOUSE DRL Overtraining__1__NL3__1,0.466666666666667
496,NL3,2,496__MOUSE DRL Overtraining__2__NL3__1,0.411111111111111
496,NL3,3,496__MOUSE DRL Overtraining__3__NL3__1,0.522222222222222
496,NL3,4,496__MOUSE DRL Overtraining__4__NL3__1,0.455555555555556
496,NL3,5,496__MOUSE DRL Overtraining__5__NL3__1,0.555555555555556
496,NL3,6,496__MOUSE DRL Overtraining__6__NL3__1,0.511111111111111
497,WT,1,497__MOUSE DRL Overtraining__1__WT__1,0.533333333333333
497,WT,2,497__MOUSE DRL Overtraining__2__WT__1,0.566666666666667
497,WT,3,497__MOUSE DRL Overtraining__3__WT__1,0.522222222222222
497,WT,4,497__MOUSE DRL Overtraining__4__WT__1,0.488888888888889
497,WT,5,497__MOUSE DRL Overtraining__5__WT__1,0.455555555555556
497,WT,6,497__MOUSE DRL Overtraining__6__WT__1,0.455555555555556
498,NL3,1,498__MOUSE DRL Overtraining__1__NL3__1,0.477777777777778
498,NL3,2,498__MOUSE DRL Overtraining__2__NL3__1,0.488888888888889
498,NL3,3,498__MOUSE DRL Overtraining__3__NL3__1,0.522222222222222
498,NL3,4,498__MOUSE DRL Overtraining__4__NL3__1,0.511111111111111
498,NL3,5,498__MOUSE DRL Overtraining__5__NL3__1,0.477777777777778
498,NL3,6,498__MOUSE DRL Overtraining__6__NL3__1,0.544444444444444
499,NL3,1,499__MOUSE DRL Overtraining__1__NL3__1,0.566666666666667
499,NL3,2,499__MOUSE DRL Overtraining__2__NL3__1,0.544444444444444
499,NL3,3,499__MOUSE DRL Overtraining__3__NL3__1,0.466666666666667
499,NL3,4,499__MOUSE DRL Overtraining__4__NL3__1,0.522222222222222
499,NL3,5,499__MOUSE DRL Overtraining__5__NL3__1,0.511111111111111
