mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,random,62.2943280743479,126.588656148696,129.088465819026
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,wsls,43.3013371763066,90.6026743526131,95.6022936932736
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning,41.8019530337334,87.6039060674668,92.6035254081273
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,assymetric q-learning,41.5414408678317,89.0828817356634,96.5823107466542
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning with stickiness,40.6373758269364,89.2747516538728,99.2739903351939
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning dual-alpha with stickiness,40.6172889794561,91.2345779589123,103.733626310564
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,hmm,53.3184482308209,126.636896461642,151.634993164944
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,random,62.0272209872465,126.054441974493,128.554251644823
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,wsls,39.4239978235909,82.8479956471819,87.8476149878424
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning,43.3607504832557,90.7215009665113,95.7211203071718
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,assymetric q-learning,39.6486497817265,85.297299563453,92.7967285744438
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning with stickiness,41.9320671699067,91.8641343398134,101.863373021134
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning dual-alpha with stickiness,39.0678611353903,88.1357222707806,100.634770622432
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,hmm,49.3722330494101,118.74446609882,143.742562802123
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,random,62.2943280743479,126.588656148696,129.088465819026
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,wsls,23.0414946287862,50.0829892575724,55.082608598233
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning,26.9955337550273,57.9910675100546,62.9906868507151
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,assymetric q-learning,22.1426267950607,50.2852535901214,57.7846826011122
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning with stickiness,23.3080627432589,54.6161254865179,64.6153641678389
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning dual-alpha with stickiness,19.4195875087819,48.8391750175638,61.3382233692152
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,hmm,46.1493329098389,112.298665819678,137.29676252298
482,WT,4,482__MOUSE DRL Overtraining__4__WT__1,random,62.1830978380636,126.366195676127,128.866005346458
482,WT,4,482__MOUSE DRL Overtraining__4__WT__1,wsls,32.0910224407665,68.182044881533,73.1816642221935
