mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,1,482__MOUSE DRL__1__WT__1,99.8739241605851,97.4001169710379,100.462129962519,104.232676209632,104.797201668426,108.648232289371,130.606742749207
482,WT,2,482__MOUSE DRL__2__WT__1,87.8697788549406,89.4219788107025,90.6495350401209,94.4479260824274,90.2764354836676,93.6654569423394,121.466556034124
482,WT,3,482__MOUSE DRL__3__WT__1,119.616700012431,121.796478596109,116.956201098296,117.491316573089,125.638222715674,126.32239431115,155.639646895008
482,WT,4,482__MOUSE DRL__4__WT__1,127.079655457744,105.139146915751,104.470706237192,102.214043307506,111.441022031091,110.795437557089,148.651118957148
482,WT,5,482__MOUSE DRL__5__WT__1,129.26630217076,114.93437804653,114.6893605021,119.18917017243,123.22077634107,127.591618153904,162.211763517427
482,WT,6,482__MOUSE DRL__6__WT__1,127.661527393424,123.389765788721,122.531571570187,123.744268873205,131.288422110405,132.610270357108,164.92258325927
482,WT,7,482__MOUSE DRL__7__WT__1,128.152893457488,101.793551089542,106.648581702765,107.861526219399,109.489137497529,111.844157807981,146.205775251205
482,WT,8,482__MOUSE DRL__8__WT__1,128.866005346458,111.572528760595,124.088276117237,128.586722758296,123.25392324076,127.748167809066,153.508030285048
482,WT,9,482__MOUSE DRL__9__WT__1,128.554251644823,91.8848980718182,94.1512069735776,94.3515198811585,99.3778692296583,101.19504824406,149.623235203945
482,WT,10,482__MOUSE DRL__10__WT__1,126.50580124077,97.2793909614598,90.5838514309084,93.8353721243445,96.6752159563092,100.150075723237,140.846960762325
482,WT,11,482__MOUSE DRL__11__WT__1,127.661527393424,96.0333714907485,99.9667858145576,104.310302997315,106.588383423958,111.017816106142,148.046511815336
482,WT,12,482__MOUSE DRL__12__WT__1,127.661527393424,98.2482478697916,100.76608357304,103.710550655401,107.647219051747,110.827589494572,148.673654275824
482,WT,13,482__MOUSE DRL__13__WT__1,129.26630217076,109.225466809023,105.791243522674,110.291053193004,112.260752933453,116.760562603784,156.689247727568
482,WT,14,482__MOUSE DRL__14__WT__1,129.221854067614,96.1213573067149,98.5058615339319,102.977943409521,106.624176959427,111.123735979806,154.14566965501
482,WT,15,482__MOUSE DRL__15__WT__1,129.221854067614,65.366483443006,62.2123510503599,66.4109233237855,68.9206762037763,72.6539279740297,134.581726793874
483,NL3,1,483__MOUSE DRL__1__NL3__1,114.455384039851,128.518742371689,114.995751530221,119.383952627688,121.689218759591,126.039762626049,152.165646862431
483,NL3,2,483__MOUSE DRL__2__NL3__1,128.554251644823,113.471012101597,115.464364121371,114.528707601596,120.530462632532,121.060804477744,155.592354371187
483,NL3,3,483__MOUSE DRL__3__NL3__1,129.26630217076,108.703419550652,119.46130146576,123.961111136091,120.073115652432,124.572925322763,152.496412301696
483,NL3,4,483__MOUSE DRL__4__NL3__1,129.221854067614,116.497501332928,118.155337217611,120.120669060987,124.363027573687,127.019796362064,158.155086084105
483,NL3,5,483__MOUSE DRL__5__NL3__1,124.784535649587,110.541391804563,118.238697179789,118.973755237926,121.522499088789,123.273952209278,151.932440794701
483,NL3,6,483__MOUSE DRL__6__NL3__1,128.152893457488,88.8580489918039,95.217504491587,99.2014791137362,101.663511358124,105.788111759292,168.651180486545
483,NL3,7,483__MOUSE DRL__7__NL3__1,125.641909731636,118.842059638546,116.781371708014,118.407161256028,123.758167711203,126.80601311521,159.191101822959
483,NL3,8,483__MOUSE DRL__8__NL3__1,128.554251644823,109.414080113796,108.519090397902,110.668252523447,114.225608291006,116.224833925201,153.557590636367
483,NL3,9,483__MOUSE DRL__9__NL3__1,129.26630217076,104.322591788359,111.982129819078,116.481939489408,116.746241799043,121.246051469373,154.209738973118
483,NL3,10,483__MOUSE DRL__10__NL3__1,128.866005346458,97.6148165566854,103.863875071816,107.992752063764,112.28632018948,116.476419037215,155.227134721887
483,NL3,11,483__MOUSE DRL__11__NL3__1,127.661527393424,100.891934557611,102.96175300984,107.46156268017,111.0251561118,115.52496578213,153.178419598642
483,NL3,12,483__MOUSE DRL__12__NL3__1,129.221854067614,109.608142301726,109.041750243088,113.541559913418,115.101215351321,119.601025021648,161.774236457623
483,NL3,13,483__MOUSE DRL__13__NL3__1,129.221854067614,112.286107837536,117.707945473045,120.246179259011,124.413853034281,127.28129465052,156.839636482747
483,NL3,14,483__MOUSE DRL__14__NL3__1,129.26630217076,96.8253916726386,106.635406871256,111.135216541586,111.26592954754,115.765739217881,148.753451000187
484,NL3,1,484__MOUSE DRL__1__NL3__1,129.221854067614,133.137914946902,123.225465789436,127.694169871179,131.207681728933,135.669146795505,168.280865397214
484,NL3,2,484__MOUSE DRL__2__NL3__1,128.152893457488,117.673641125626,123.755560680511,128.243986394198,127.019040024761,131.49900284505,158.288801827281
484,NL3,3,484__MOUSE DRL__3__NL3__1,123.629146530903,114.6790477886,120.609180613922,124.217857172356,121.594376250119,125.342111772755,150.713410870856
484,NL3,4,484__MOUSE DRL__4__NL3__1,128.152893457488,111.109047660103,109.880194181866,113.023050539696,118.067603541228,121.409481777,158.054986422659
484,NL3,5,484__MOUSE DRL__5__NL3__1,129.26630217076,112.753962863596,110.61707477054,112.235868903406,119.105926407386,121.046400261242,159.456395258719
484,NL3,6,484__MOUSE DRL__6__NL3__1,129.088465819026,92.9896531902276,100.48770823761,98.1612697137744,106.9752901032,105.915747366844,148.23017854022
484,NL3,7,484__MOUSE DRL__7__NL3__1,128.554251644823,80.0190268386797,99.6647615523951,95.9669386644643,92.3054494233717,93.5812346501007,128.644705664568
