mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
482,WT,1,482__MOUSE DRL__1__WT__1,random,47.8199088279939,97.6398176559879,99.8739241605851
482,WT,1,482__MOUSE DRL__1__WT__1,wsls,44.4659519809217,92.9319039618434,97.4001169710379
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning,45.9969584766625,95.993916953325,100.462129962519
482,WT,1,482__MOUSE DRL__1__WT__1,assymetric q-learning,45.7651783479202,97.5303566958404,104.232676209632
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning with stickiness,43.9303878250187,95.8607756500373,104.797201668426
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning dual-alpha with stickiness,43.7388498831924,97.4776997663849,108.648232289371
482,WT,1,482__MOUSE DRL__1__WT__1,hmm,44.1328388516172,108.265677703234,130.606742749207
482,WT,2,482__MOUSE DRL__2__WT__1,random,41.8794524953836,85.7589049907673,87.8697788549406
482,WT,2,482__MOUSE DRL__2__WT__1,wsls,40.6001155411779,85.2002310823559,89.4219788107025
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning,41.2138936558872,86.4277873117743,90.6495350401209
482,WT,2,482__MOUSE DRL__2__WT__1,assymetric q-learning,41.0576522449537,88.1153044899075,94.4479260824274
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning with stickiness,36.9164700134872,81.8329400269744,90.2764354836676
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning dual-alpha with stickiness,36.5555438107364,83.1110876214729,93.6654569423394
482,WT,2,482__MOUSE DRL__2__WT__1,hmm,40.1789086961955,100.357817392391,121.466556034124
482,WT,3,482__MOUSE DRL__3__WT__1,random,57.5870243779701,117.17404875594,119.616700012431
482,WT,3,482__MOUSE DRL__3__WT__1,wsls,56.4555880415643,116.911176083129,121.796478596109
482,WT,3,482__MOUSE DRL__3__WT__1,q-learning,54.0354492926578,112.070898585316,116.956201098296
482,WT,3,482__MOUSE DRL__3__WT__1,assymetric q-learning,52.0816814018089,110.163362803618,117.491316573089
482,WT,3,482__MOUSE DRL__3__WT__1,q-learning with stickiness,53.9338088448564,115.867617689713,125.638222715674
