mouse_id,genotype,session_id,seg_id,p_right
482,WT,11,482__MOUSE PRL__11__WT__0.8,0.6
482,WT,12,482__MOUSE PRL__12__WT__0.8,0.466666666666667
482,WT,13,482__MOUSE PRL__13__WT__0.8,0.488888888888889
482,WT,14,482__MOUSE PRL__14__WT__0.8,0.533333333333333
482,WT,15,482__MOUSE PRL__15__WT__0.8,0.533333333333333
482,WT,16,482__MOUSE PRL__16__WT__0.8,0.6
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,0.511111111111111
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,0.455555555555556
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,0.477777777777778
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,0.466666666666667
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,0.444444444444444
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,0.433333333333333
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,0.544444444444444
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,0.411111111111111
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,0.388888888888889
484,NL3,14,484__MOUSE PRL__14__NL3__0.8,0.355555555555556
484,NL3,15,484__MOUSE PRL__15__NL3__0.8,0.455555555555556
484,NL3,16,484__MOUSE PRL__16__NL3__0.8,0.522222222222222
485,NL3,11,485__MOUSE PRL__11__NL3__0.8,0.522222222222222
485,NL3,12,485__MOUSE PRL__12__NL3__0.8,0.477777777777778
485,NL3,13,485__MOUSE PRL__13__NL3__0.8,0.466666666666667
485,NL3,14,485__MOUSE PRL__14__NL3__0.8,0.511111111111111
485,NL3,15,485__MOUSE PRL__15__NL3__0.8,0.466666666666667
485,NL3,16,485__MOUSE PRL__16__NL3__0.8,0.555555555555556
494,NL3,11,494__MOUSE PRL__11__NL3__0.8,0.466666666666667
494,NL3,12,494__MOUSE PRL__12__NL3__0.8,0.533333333333333
494,NL3,13,494__MOUSE PRL__13__NL3__0.8,0.511111111111111
494,NL3,14,494__MOUSE PRL__14__NL3__0.8,0.422222222222222
494,NL3,15,494__MOUSE PRL__15__NL3__0.8,0.455555555555556
494,NL3,16,494__MOUSE PRL__16__NL3__0.8,0.511111111111111
495,WT,11,495__MOUSE PRL__11__WT__0.8,0.555555555555556
495,WT,12,495__MOUSE PRL__12__WT__0.8,0.544444444444444
495,WT,13,495__MOUSE PRL__13__WT__0.8,0.466666666666667
495,WT,14,495__MOUSE PRL__14__WT__0.8,0.466666666666667
495,WT,15,495__MOUSE PRL__15__WT__0.8,0.533333333333333
495,WT,16,495__MOUSE PRL__16__WT__0.8,0.555555555555556
496,NL3,11,496__MOUSE PRL__11__NL3__0.8,0.5
496,NL3,12,496__MOUSE PRL__12__NL3__0.8,0.522222222222222
