mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,11,482__MOUSE PRL__11__WT__0.8,123.142100061306,88.7519196948791,93.6542315720379,95.6542315720379,94.4113743784146,96.4113743784149,118.794844205638
482,WT,12,482__MOUSE PRL__12__WT__0.8,126.366195676127,106.109428319442,110.23113992457,112.23113992457,112.079778109066,114.079778109064,132.813225615411
482,WT,13,482__MOUSE PRL__13__WT__0.8,126.722044397284,106.260242852745,119.547173833206,121.094480900491,111.226399830178,113.168295442063,124.388136419878
482,WT,14,482__MOUSE PRL__14__WT__0.8,126.366195676127,100.446972703521,94.6900623948173,96.6900623948173,97.3481637518656,99.2363323559125,127.164092468611
482,WT,15,482__MOUSE PRL__15__WT__0.8,126.366195676127,110.052237744516,110.487266289126,112.487266289126,111.35578063968,113.35578063968,131.998341547715
482,WT,16,482__MOUSE PRL__16__WT__0.8,123.142100061306,102.723603488288,111.632015239127,111.842683018206,108.803907913504,109.608948369948,125.711896362321
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,126.722044397284,113.25782261057,120.717512390245,118.948450319111,117.274936818477,117.160060929281,132.193960497847
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,126.054441974493,105.364778606893,113.737550241989,115.737550241989,111.050477868762,113.050477869084,133.289446803024
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,126.588656148696,117.639166419582,119.350213887326,121.350213887326,121.619087973468,123.61908797347,138.318317782041
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,126.366195676127,118.481353564465,117.908254879724,117.805687759032,115.846632118446,115.275519218802,132.361672809917
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,125.653083787158,113.842440297886,116.26904035778,118.26904035778,117.027779189468,119.027779189468,135.183562829987
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,125.161717723094,122.953228392035,123.955264556098,125.201046391703,126.045538592121,127.777666556916,139.844062437072
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,126.054441974493,98.4996955823987,99.1222631573296,100.407331913138,102.536015599678,103.94902360062,130.445522123989
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,123.90687228689,127.813757115824,123.407440857073,124.607882869602,125.618925148292,126.925936480793,140.111853569693
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,122.284725979257,107.916864485711,119.266006523774,117.579858537799,112.232920751422,112.890003611638,125.387617307503
484,NL3,14,484__MOUSE PRL__14__NL3__0.8,119.147253656521,109.053846083197,114.336296823357,113.822426812076,109.004228268764,110.982335025963,125.070601747088
484,NL3,15,484__MOUSE PRL__15__NL3__0.8,126.054441974493,114.377315352732,120.611401672025,121.009614966998,117.656068551519,118.882358901966,132.076513242011
484,NL3,16,484__MOUSE PRL__16__NL3__0.8,126.588656148696,118.334611687977,121.260777301476,121.878214364842,120.040727644325,121.329683486885,136.20556963067
485,NL3,11,485__MOUSE PRL__11__NL3__0.8,126.588656148696,120.992073763384,122.02505168651,122.653992065216,124.203556721656,125.33565080541,135.483672315913
485,NL3,12,485__MOUSE PRL__12__NL3__0.8,126.588656148696,118.61470984597,118.624110187298,120.465109857349,122.04239925335,123.941794174305,140.017448304311
485,NL3,13,485__MOUSE PRL__13__NL3__0.8,126.366195676127,118.481353564465,124.02955591583,124.525406970722,120.536961914787,120.175960234124,134.572715531721
485,NL3,14,485__MOUSE PRL__14__NL3__0.8,126.722044397284,107.446854228285,110.163042154906,111.426701795284,108.474171894981,110.00095551938,127.737846396022
