mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,11,482__MOUSE PRL__11__WT__0.8,125.641909731636,93.7515390355396,98.6538509126984,103.153660583029,104.410613059736,108.910422730066,143.792940908941
482,WT,12,482__MOUSE PRL__12__WT__0.8,128.866005346458,111.109047660103,115.230759265231,119.730568935561,122.079016790387,126.578826460715,157.811322318714
482,WT,13,482__MOUSE PRL__13__WT__0.8,129.221854067614,111.259862193405,124.546793173866,128.593909911482,121.225638511499,125.667343793714,149.386233123181
482,WT,14,482__MOUSE PRL__14__WT__0.8,128.866005346458,105.446592044182,99.6896817354779,104.189491405808,107.347402433187,111.735380707564,152.162189171914
482,WT,15,482__MOUSE PRL__15__WT__0.8,128.866005346458,115.051857085176,115.486885629786,119.986695300116,121.355019321002,125.854828991332,156.996438251018
482,WT,16,482__MOUSE PRL__16__WT__0.8,125.641909731636,107.723222828949,116.631634579787,119.342112029196,118.803146594825,122.107996721599,150.709993065623
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,129.221854067614,118.25744195123,125.717131730906,126.447879330102,127.274175499798,129.659109280932,157.19205720115
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,128.554251644823,110.364397947553,118.73716958265,123.23697925298,121.049716550083,125.549526220735,158.287543506326
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,129.088465819026,122.638785760242,124.349833227987,128.849642898317,131.618326654789,136.118136325121,163.316414485343
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,128.866005346458,123.480972905126,122.907874220385,125.305116770023,125.845870799767,127.774567570453,157.359769513219
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,128.152893457488,118.842059638546,121.268659698441,125.768469368771,127.027017870789,131.526827541119,160.181659533289
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,127.661527393424,127.952847732695,128.954883896759,132.700475402693,136.044777273442,140.276714908567,164.842159140375
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,128.554251644823,103.499314923059,104.12188249799,107.906760924129,112.535254280999,116.448071952271,155.443618827292
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,126.40668195722,132.813376456484,128.407060197734,132.107311880593,135.618163829613,139.424984832444,165.109950272996
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,124.784535649587,112.916483826372,124.265625864435,125.07928754879,122.232159432743,125.38905196329,150.385714010806
484,NL3,14,484__MOUSE PRL__14__NL3__0.8,121.647063326851,114.053465423858,119.335916164017,121.321855823067,119.003466950085,123.481383377614,150.068698450391
