mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
482,WT,11,482__MOUSE PRL__11__WT__0.8,random,60.5710500306531,123.142100061306,125.641909731636
482,WT,11,482__MOUSE PRL__11__WT__0.8,wsls,42.3759598474395,88.7519196948791,93.7515390355396
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning,44.8271157860189,93.6542315720379,98.6538509126984
482,WT,11,482__MOUSE PRL__11__WT__0.8,assymetric q-learning,44.8271157860189,95.6542315720379,103.153660583029
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning with stickiness,43.2056871892073,94.4113743784146,104.410613059736
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning dual-alpha with stickiness,43.2056871892075,96.4113743784149,108.910422730066
482,WT,11,482__MOUSE PRL__11__WT__0.8,hmm,49.3974221028189,118.794844205638,143.792940908941
482,WT,12,482__MOUSE PRL__12__WT__0.8,random,62.1830978380636,126.366195676127,128.866005346458
482,WT,12,482__MOUSE PRL__12__WT__0.8,wsls,51.0547141597212,106.109428319442,111.109047660103
482,WT,12,482__MOUSE PRL__12__WT__0.8,q-learning,53.1155699622851,110.23113992457,115.230759265231
482,WT,12,482__MOUSE PRL__12__WT__0.8,assymetric q-learning,53.1155699622851,112.23113992457,119.730568935561
482,WT,12,482__MOUSE PRL__12__WT__0.8,q-learning with stickiness,52.0398890545329,112.079778109066,122.079016790387
482,WT,12,482__MOUSE PRL__12__WT__0.8,q-learning dual-alpha with stickiness,52.0398890545318,114.079778109064,126.578826460715
482,WT,12,482__MOUSE PRL__12__WT__0.8,hmm,56.4066128077055,132.813225615411,157.811322318714
482,WT,13,482__MOUSE PRL__13__WT__0.8,random,62.361022198642,126.722044397284,129.221854067614
482,WT,13,482__MOUSE PRL__13__WT__0.8,wsls,51.1301214263724,106.260242852745,111.259862193405
482,WT,13,482__MOUSE PRL__13__WT__0.8,q-learning,57.7735869166029,119.547173833206,124.546793173866
482,WT,13,482__MOUSE PRL__13__WT__0.8,assymetric q-learning,57.5472404502457,121.094480900491,128.593909911482
482,WT,13,482__MOUSE PRL__13__WT__0.8,q-learning with stickiness,51.6131999150889,111.226399830178,121.225638511499
482,WT,13,482__MOUSE PRL__13__WT__0.8,q-learning dual-alpha with stickiness,51.5841477210315,113.168295442063,125.667343793714
482,WT,13,482__MOUSE PRL__13__WT__0.8,hmm,52.1940682099391,124.388136419878,149.386233123181
482,WT,14,482__MOUSE PRL__14__WT__0.8,random,62.1830978380636,126.366195676127,128.866005346458
482,WT,14,482__MOUSE PRL__14__WT__0.8,wsls,48.2234863517607,100.446972703521,105.446592044182
482,WT,14,482__MOUSE PRL__14__WT__0.8,q-learning,45.3450311974087,94.6900623948173,99.6896817354779
482,WT,14,482__MOUSE PRL__14__WT__0.8,assymetric q-learning,45.3450311974087,96.6900623948173,104.189491405808
482,WT,14,482__MOUSE PRL__14__WT__0.8,q-learning with stickiness,44.6740818759328,97.3481637518656,107.347402433187
482,WT,14,482__MOUSE PRL__14__WT__0.8,q-learning dual-alpha with stickiness,44.6181661779563,99.2363323559125,111.735380707564
482,WT,14,482__MOUSE PRL__14__WT__0.8,hmm,53.5820462343056,127.164092468611,152.162189171914
482,WT,15,482__MOUSE PRL__15__WT__0.8,random,62.1830978380636,126.366195676127,128.866005346458
482,WT,15,482__MOUSE PRL__15__WT__0.8,wsls,53.0261188722578,110.052237744516,115.051857085176
482,WT,15,482__MOUSE PRL__15__WT__0.8,q-learning,53.2436331445629,110.487266289126,115.486885629786
482,WT,15,482__MOUSE PRL__15__WT__0.8,assymetric q-learning,53.2436331445628,112.487266289126,119.986695300116
482,WT,15,482__MOUSE PRL__15__WT__0.8,q-learning with stickiness,51.6778903198402,111.35578063968,121.355019321002
482,WT,15,482__MOUSE PRL__15__WT__0.8,q-learning dual-alpha with stickiness,51.6778903198402,113.35578063968,125.854828991332
482,WT,15,482__MOUSE PRL__15__WT__0.8,hmm,55.9991707738575,131.998341547715,156.996438251018
482,WT,16,482__MOUSE PRL__16__WT__0.8,random,60.5710500306531,123.142100061306,125.641909731636
482,WT,16,482__MOUSE PRL__16__WT__0.8,wsls,49.3618017441442,102.723603488288,107.723222828949
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning,53.8160076195633,111.632015239127,116.631634579787
482,WT,16,482__MOUSE PRL__16__WT__0.8,assymetric q-learning,52.9213415091028,111.842683018206,119.342112029196
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning with stickiness,50.401953956752,108.803907913504,118.803146594825
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning dual-alpha with stickiness,49.8044741849739,109.608948369948,122.107996721599
482,WT,16,482__MOUSE PRL__16__WT__0.8,hmm,52.8559481811603,125.711896362321,150.709993065623
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,random,62.361022198642,126.722044397284,129.221854067614
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,wsls,54.6289113052848,113.25782261057,118.25744195123
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning,58.3587561951227,120.717512390245,125.717131730906
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,assymetric q-learning,56.4742251595556,118.948450319111,126.447879330102
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning with stickiness,54.6374684092384,117.274936818477,127.274175499798
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning dual-alpha with stickiness,53.5800304646403,117.160060929281,129.659109280932
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,hmm,56.0969802489236,132.193960497847,157.19205720115
