mouse_id,genotype,session_id,seg_id,model,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,npar,logLik,nll,aic,bic
482,WT,11,482__MOUSE PRL__11__WT__0.8,random,,,,,,,,,,,,60.5710500306531,123.142100061306,125.641909731636
482,WT,11,482__MOUSE PRL__11__WT__0.8,wsls,,,,,,,0.863636365968693,0.608695669230895,,,,42.3759598474395,88.7519196948791,93.7515390355396
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning,0.999954602131298,1.66257393935546,,,,,,,,,,44.8271157860189,93.6542315720379,98.6538509126984
482,WT,11,482__MOUSE PRL__11__WT__0.8,assymetric q-learning,,1.6625738891102,0.999954602131298,0.999954602131298,,,,,,,,44.8271157860189,95.6542315720379,103.153660583029
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning with stickiness,0.999954602131298,1.27674585417692,,,0.285300426850032,1.11370964669923,,,,,,43.2056871892073,94.4113743784146,104.410613059736
482,WT,11,482__MOUSE PRL__11__WT__0.8,q-learning dual-alpha with stickiness,,1.27674567354551,0.999954602131298,0.999954602131298,0.285299932350335,1.11371097818535,,,,,,43.2056871892075,96.4113743784149,108.910422730066
482,WT,11,482__MOUSE PRL__11__WT__0.8,hmm,,,,,,,,,0.123595505617978,10,-49.3974221028189,49.3974221028189,118.794844205638,143.792940908941
482,WT,12,482__MOUSE PRL__12__WT__0.8,random,,,,,,,,,,,,62.1830978380636,126.366195676127,128.866005346458
482,WT,12,482__MOUSE PRL__12__WT__0.8,wsls,,,,,,,0.786885253325453,0.607142875293186,,,,51.0547141597212,106.109428319442,111.109047660103
482,WT,12,482__MOUSE PRL__12__WT__0.8,q-learning,0.999954602131298,1.04732784860922,,,,,,,,,,53.1155699622851,110.23113992457,115.230759265231
482,WT,12,482__MOUSE PRL__12__WT__0.8,assymetric q-learning,,1.0473278166296,0.999954602131298,0.999954602131298,,,,,,,,53.1155699622851,112.23113992457,119.730568935561
482,WT,12,482__MOUSE PRL__12__WT__0.8,q-learning with stickiness,0.999954602131298,0.773829631038417,,,0.239751273961352,0.902616959120074,,,,,,52.0398890545329,112.079778109066,122.079016790387
