mouse_id,genotype,session_id,seg_id,p_right
482,WT,18,482__MOUSE PRL__18__WT__0.7,0.555555555555556
482,WT,19,482__MOUSE PRL__19__WT__0.7,0.555555555555556
482,WT,20,482__MOUSE PRL__20__WT__0.7,0.488888888888889
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,0.5
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,0.422222222222222
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,0.422222222222222
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,0.422222222222222
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,0.377777777777778
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,0.511111111111111
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,0.455555555555556
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,0.422222222222222
485,NL3,20,485__MOUSE PRL__20__NL3__0.7,0.511111111111111
494,NL3,18,494__MOUSE PRL__18__NL3__0.7,0.422222222222222
494,NL3,19,494__MOUSE PRL__19__NL3__0.7,0.511111111111111
494,NL3,20,494__MOUSE PRL__20__NL3__0.7,0.5
495,WT,18,495__MOUSE PRL__18__WT__0.7,0.455555555555556
495,WT,19,495__MOUSE PRL__19__WT__0.7,0.488888888888889
495,WT,20,495__MOUSE PRL__20__WT__0.7,0.488888888888889
496,NL3,18,496__MOUSE PRL__18__NL3__0.7,0.544444444444444
496,NL3,19,496__MOUSE PRL__19__NL3__0.7,0.555555555555556
496,NL3,20,496__MOUSE PRL__20__NL3__0.7,0.533333333333333
497,WT,18,497__MOUSE PRL__18__WT__0.7,0.533333333333333
497,WT,19,497__MOUSE PRL__19__WT__0.7,0.577777777777778
497,WT,20,497__MOUSE PRL__20__WT__0.7,0.5
498,NL3,18,498__MOUSE PRL__18__NL3__0.7,0.5
498,NL3,19,498__MOUSE PRL__19__NL3__0.7,0.455555555555556
498,NL3,20,498__MOUSE PRL__20__NL3__0.7,0.488888888888889
499,NL3,18,499__MOUSE PRL__18__NL3__0.7,0.544444444444444
499,NL3,19,499__MOUSE PRL__19__NL3__0.7,0.5
499,NL3,20,499__MOUSE PRL__20__NL3__0.7,0.577777777777778
511,NL3,18,511__MOUSE PRL__18__NL3__0.7,0.488888888888889
511,NL3,19,511__MOUSE PRL__19__NL3__0.7,0.5
511,NL3,20,511__MOUSE PRL__20__NL3__0.7,0.466666666666667
512,WT,18,512__MOUSE PRL__18__WT__0.7,0.5
512,WT,19,512__MOUSE PRL__19__WT__0.7,0.533333333333333
512,WT,20,512__MOUSE PRL__20__WT__0.7,0.422222222222222
513,WT,18,513__MOUSE PRL__18__WT__0.7,0.5
513,WT,19,513__MOUSE PRL__19__WT__0.7,0.477777777777778
513,WT,20,513__MOUSE PRL__20__WT__0.7,0.477777777777778
522,NL3,18,522__MOUSE PRL__18__NL3__0.7,0.6
522,NL3,19,522__MOUSE PRL__19__NL3__0.7,0.522222222222222
522,NL3,20,522__MOUSE PRL__20__NL3__0.7,0.566666666666667
523,NL3,18,523__MOUSE PRL__18__NL3__0.7,0.488888888888889
523,NL3,19,523__MOUSE PRL__19__NL3__0.7,0.544444444444444
523,NL3,20,523__MOUSE PRL__20__NL3__0.7,0.566666666666667
524,WT,18,524__MOUSE PRL__18__WT__0.7,0.444444444444444
524,WT,19,524__MOUSE PRL__19__WT__0.7,0.511111111111111
524,WT,20,524__MOUSE PRL__20__WT__0.7,0.6
525,WT,18,525__MOUSE PRL__18__WT__0.7,0.411111111111111
525,WT,19,525__MOUSE PRL__19__WT__0.7,0.544444444444444
525,WT,20,525__MOUSE PRL__20__WT__0.7,0.544444444444444
531,WT,18,531__MOUSE PRL__18__WT__0.7,0.477777777777778
531,WT,19,531__MOUSE PRL__19__WT__0.7,0.444444444444444
531,WT,20,531__MOUSE PRL__20__WT__0.7,0.411111111111111
532,WT,18,532__MOUSE PRL__18__WT__0.7,0.544444444444444
532,WT,19,532__MOUSE PRL__19__WT__0.7,0.522222222222222
532,WT,20,532__MOUSE PRL__20__WT__0.7,0.466666666666667
533,WT,18,533__MOUSE PRL__18__WT__0.7,0.533333333333333
533,WT,19,533__MOUSE PRL__19__WT__0.7,0.488888888888889
533,WT,20,533__MOUSE PRL__20__WT__0.7,0.466666666666667
537,NL3,18,537__MOUSE PRL__18__NL3__0.7,0.511111111111111
537,NL3,19,537__MOUSE PRL__19__NL3__0.7,0.5
537,NL3,20,537__MOUSE PRL__20__NL3__0.7,0.533333333333333
543,NL3,18,543__MOUSE PRL__18__NL3__0.7,0.511111111111111
543,NL3,19,543__MOUSE PRL__19__NL3__0.7,0.522222222222222
543,NL3,20,543__MOUSE PRL__20__NL3__0.7,0.466666666666667
544,WT,18,544__MOUSE PRL__18__WT__0.7,0.5
544,WT,19,544__MOUSE PRL__19__WT__0.7,0.411111111111111
544,WT,20,544__MOUSE PRL__20__WT__0.7,0.422222222222222
546,WT,18,546__MOUSE PRL__18__WT__0.7,0.544444444444444
546,WT,19,546__MOUSE PRL__19__WT__0.7,0.555555555555556
546,WT,20,546__MOUSE PRL__20__WT__0.7,0.477777777777778
554,WT,18,554__MOUSE PRL__18__WT__0.7,0.533333333333333
554,WT,19,554__MOUSE PRL__19__WT__0.7,0.533333333333333
554,WT,20,554__MOUSE PRL__20__WT__0.7,0.488888888888889
555,NL3,18,555__MOUSE PRL__18__NL3__0.7,0.488888888888889
555,NL3,19,555__MOUSE PRL__19__NL3__0.7,0.533333333333333
555,NL3,20,555__MOUSE PRL__20__NL3__0.7,0.455555555555556
556,WT,18,556__MOUSE PRL__18__WT__0.7,0.466666666666667
556,WT,19,556__MOUSE PRL__19__WT__0.7,0.6
556,WT,20,556__MOUSE PRL__20__WT__0.7,0.555555555555556
557,NL3,18,557__MOUSE PRL__18__NL3__0.7,0.566666666666667
557,NL3,19,557__MOUSE PRL__19__NL3__0.7,0.488888888888889
557,NL3,20,557__MOUSE PRL__20__NL3__0.7,0.566666666666667
565,WT,18,565__MOUSE PRL__18__WT__0.7,0.511111111111111
565,WT,19,565__MOUSE PRL__19__WT__0.7,0.488888888888889
565,WT,20,565__MOUSE PRL__20__WT__0.7,0.455555555555556
566,NL3,18,566__MOUSE PRL__18__NL3__0.7,0.477777777777778
566,NL3,19,566__MOUSE PRL__19__NL3__0.7,0.488888888888889
566,NL3,20,566__MOUSE PRL__20__NL3__0.7,0.522222222222222
567,NL3,18,567__MOUSE PRL__18__NL3__0.7,0.533333333333333
567,NL3,19,567__MOUSE PRL__19__NL3__0.7,0.522222222222222
567,NL3,20,567__MOUSE PRL__20__NL3__0.7,0.5
568,WT,18,568__MOUSE PRL__18__WT__0.7,0.544444444444444
568,WT,19,568__MOUSE PRL__19__WT__0.7,0.511111111111111
568,WT,20,568__MOUSE PRL__20__WT__0.7,0.377777777777778
