mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,18,482__MOUSE PRL__18__WT__0.7,128.152893457488,115.22560281087,118.604296470775,121.802567142586,122.88349237623,126.469330297397,156.4403306285
482,WT,19,482__MOUSE PRL__19__WT__0.7,128.152893457488,112.467396386596,112.556066503614,116.03107766851,117.618090960662,121.512056880976,152.061830850532
482,WT,20,482__MOUSE PRL__20__WT__0.7,129.221854067614,122.294347701698,116.980182329897,120.892337909191,125.142072375767,129.141215270328,161.206374320015
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,129.26630217076,124.215567763729,130.460725877982,133.904258209941,134.744991486396,138.71055983178,162.347431235176
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,127.079655457744,129.993701309065,128.880916317308,132.333000376526,135.798160715039,139.552426040165,163.79547680193
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,127.079655457744,126.516855125912,133.764731307854,138.176558024965,134.028401403141,138.52819633186,160.170700616615
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,127.079655457744,129.63444983353,133.766148846966,137.072766251041,138.625160715185,142.381096128916,163.130974395834
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,123.833645293182,117.110970408252,126.441373029591,128.598867512135,123.925524602488,127.465679382489,150.38670595583
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,129.221854067614,126.102013946063,126.971655483466,127.854124466566,133.277357384608,134.537446771671,161.710886611589
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,128.554251644823,130.229046846459,125.251908588261,129.363962064237,131.940734433807,136.042838756911,160.440491017687
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,127.079655457744,133.48228174317,133.748474326932,135.089079956046,141.398587663504,143.515405408754,165.823440293154
485,NL3,20,485__MOUSE PRL__20__NL3__0.7,129.221854067614,126.933011206653,126.420124323907,130.129939082066,129.326837929596,133.81429875007,165.4333190318
