mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,60.5710500306531,50.4139834576557,52.1460607083571,51.9795170802574,51.5315389971103,51.4075948919689,55.0889593295446
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,62.2943280743479,43.3525622254742,42.587184047559,42.2706024468642,41.8112487425601,41.2814653058718,52.2106237570501
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,62.361022198642,36.9505101672485,46.4776095458209,46.4776095458216,41.7576146749636,41.7256339572362,48.6244832261684
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,60.5710500306531,53.0261188722577,55.8877168194856,52.9582403271525,52.4403535922426,50.4843288633483,54.245368716166
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,61.289922893707,58.5951810197244,59.5377828839893,58.3284828755997,58.0421796750347,57.1851714695106,57.683176919977
483,NL3,3,483__MOUSE PRL 7 to Reversal__3__NL3__0.8,62.361022198642,59.3172770165425,58.7595934863369,58.284004387664,58.6796317027415,58.1983334729361,61.1931365678042
484,NL3,1,484__MOUSE PRL 7 to Reversal__1__NL3__0.8,60.5710500306531,59.3853615620656,60.2917400376658,59.6643808892326,59.7860597048147,59.2716225110523,59.1550919871108
484,NL3,2,484__MOUSE PRL 7 to Reversal__2__NL3__0.8,62.1830978380636,61.1379669563514,61.7793942782177,61.6292994443773,60.6545166230526,60.6389338779904,60.9106638041616
484,NL3,3,484__MOUSE PRL 7 to Reversal__3__NL3__0.8,60.1423629896285,56.0943372339201,56.197531912306,54.8016214819342,53.7749548016299,53.2211290313123,56.6148242311092
485,NL3,1,485__MOUSE PRL 7 to Reversal__1__NL3__0.8,61.8265418935791,57.928013937318,59.7621357226154,59.7621357226155,57.786084186852,57.7860841871182,58.7631261673549
485,NL3,2,485__MOUSE PRL 7 to Reversal__2__NL3__0.8,60.9534361434451,52.2440455995946,52.3345872257416,51.8785963167294,52.1159055177024,51.7158501660228,53.7617524257989
485,NL3,3,485__MOUSE PRL 7 to Reversal__3__NL3__0.8,61.8265418935791,49.04570387623,49.8413345010079,49.8413345010077,49.4488407018705,49.448840701872,57.2944733216363
494,NL3,1,494__MOUSE PRL 7 to Reversal__1__NL3__0.8,62.361022198642,59.1057023802568,56.4502663758448,56.4502552787808,54.6643460074278,54.6508199333637,58.8174794009497
494,NL3,2,494__MOUSE PRL 7 to Reversal__2__NL3__0.8,59.1441985345807,54.2191260519051,53.8048410937921,50.6829058941756,52.374440884764,49.7778183576315,53.5732826006794
494,NL3,3,494__MOUSE PRL 7 to Reversal__3__NL3__0.8,62.1830978380636,57.9477056595222,55.2045343947759,55.0426782619195,52.8555731560796,52.733542321954,54.8294356234999
495,WT,1,495__MOUSE PRL 7 to Reversal__1__WT__0.8,62.2943280743479,49.3904745713885,52.9648420074352,52.8982212247142,46.269222857961,45.6826758278996,52.6848047713417
495,WT,2,495__MOUSE PRL 7 to Reversal__2__WT__0.8,62.2943280743479,52.2832244814867,56.0286924506107,55.524047618622,50.7134515317882,50.3234768619898,53.3368295143255
495,WT,3,495__MOUSE PRL 7 to Reversal__3__WT__0.8,62.1830978380636,47.9744542470183,59.8017942818536,59.2168848173457,48.3092325782381,48.2155432461582,48.5495309414555
496,NL3,1,496__MOUSE PRL 7 to Reversal__1__NL3__0.8,62.3832462502151,57.6400140617222,60.4583858881099,59.5882248463334,55.7895753892624,55.4187840214667,57.2775917886442
496,NL3,2,496__MOUSE PRL 7 to Reversal__2__NL3__0.8,57.9545578000669,55.9117756184885,57.3686434440588,57.3686434440586,50.8011661947517,50.801166194724,55.1431212687788
496,NL3,3,496__MOUSE PRL 7 to Reversal__3__NL3__0.8,59.666917811426,53.4767898687613,51.7219240049414,50.4557236878661,51.4541577288999,49.535965084103,55.3951719626086
497,WT,1,497__MOUSE PRL 7 to Reversal__1__WT__0.8,62.0272209872465,57.5660352839676,56.0215923283181,54.9184829049527,54.8210786532822,54.2824855289326,55.2626530688885
497,WT,2,497__MOUSE PRL 7 to Reversal__2__WT__0.8,62.3832462502151,55.4742470955413,52.7444645976628,51.0134810198334,52.5252465952355,50.803811908076,54.9728110524957
497,WT,3,497__MOUSE PRL 7 to Reversal__3__WT__0.8,62.3832462502151,58.2117180887695,58.9978845926695,58.5272090227417,56.476527219381,56.0303765256907,58.2977009586741
498,NL3,1,498__MOUSE PRL 7 to Reversal__1__NL3__0.8,62.0272209872465,52.0653109979877,59.3188458769832,59.2182634545422,52.4510025201278,52.4138087955539,51.0306429243504
498,NL3,2,498__MOUSE PRL 7 to Reversal__2__NL3__0.8,59.1441985345807,47.9262362495567,48.6938135162222,46.8841915745707,48.4067830891678,46.5276367389038,52.7824336601925
498,NL3,3,498__MOUSE PRL 7 to Reversal__3__NL3__0.8,59.1441985345807,52.1465466341113,53.4028276598244,51.43672445619,49.030999897454,47.8990421663554,50.2894146516466
