mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,random,60.5710500306531,123.142100061306,125.641909731636
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,wsls,50.4139834576557,104.827966915311,109.827586255972
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,q-learning,52.1460607083571,108.292121416714,113.291740757375
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,assymetric q-learning,51.9795170802574,109.959034160515,117.458463171506
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,q-learning with stickiness,51.5315389971103,111.063077994221,121.062316675542
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,q-learning dual-alpha with stickiness,51.4075948919689,112.815189783938,125.314238135589
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,hmm,55.0889593295446,130.177918659089,155.176015362392
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,random,62.2943280743479,126.588656148696,129.088465819026
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,wsls,43.3525622254742,90.7051244509483,95.7047437916089
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,q-learning,42.587184047559,89.174368095118,94.1739874357785
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,assymetric q-learning,42.2706024468642,90.5412048937285,98.0406339047192
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,q-learning with stickiness,41.8112487425601,91.6224974851202,101.621736166441
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,q-learning dual-alpha with stickiness,41.2814653058718,92.5629306117435,105.061978963395
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,hmm,52.2106237570501,124.4212475141,149.419344217403
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,random,62.361022198642,126.722044397284,129.221854067614
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,wsls,36.9505101672485,77.901020334497,82.9006396751575
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,q-learning,46.4776095458209,96.9552190916419,101.954838432302
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,assymetric q-learning,46.4776095458216,98.9552190916432,106.454648102634
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,q-learning with stickiness,41.7576146749636,91.5152293499272,101.514468031248
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,q-learning dual-alpha with stickiness,41.7256339572362,93.4512679144725,105.950316266124
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,hmm,48.6244832261684,117.248966452337,142.24706315564
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,random,60.5710500306531,123.142100061306,125.641909731636
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,wsls,53.0261188722577,110.052237744515,115.051857085176
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,q-learning,55.8877168194856,115.775433638971,120.775052979632
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,assymetric q-learning,52.9582403271525,111.916480654305,119.415909665296
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,q-learning with stickiness,52.4403535922426,112.880707184485,122.879945865806
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,q-learning dual-alpha with stickiness,50.4843288633483,110.968657726697,123.467706078348
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,hmm,54.245368716166,128.490737432332,153.488834135635
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,random,61.289922893707,124.579845787414,127.079655457744
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,wsls,58.5951810197244,121.190362039449,126.189981380109
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,q-learning,59.5377828839893,123.075565767979,128.075185108639
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,assymetric q-learning,58.3284828755997,122.656965751199,130.15639476219
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,q-learning with stickiness,58.0421796750347,124.084359350069,134.08359803139
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,q-learning dual-alpha with stickiness,57.1851714695106,124.370342939021,136.869391290672
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,hmm,57.683176919977,135.366353839954,160.364450543257
