mouse_id,genotype,session_id,seg_id,p_right
482,WT,10,482__MOUSE PRL__10__WT__0.8,0.477777777777778
482,WT,1,482__MOUSE PRL__1__WT__0.8,0.533333333333333
482,WT,2,482__MOUSE PRL__2__WT__0.8,0.4
482,WT,3,482__MOUSE PRL__3__WT__0.8,0.488888888888889
482,WT,4,482__MOUSE PRL__4__WT__0.8,0.5
482,WT,5,482__MOUSE PRL__5__WT__0.8,0.511111111111111
482,WT,6,482__MOUSE PRL__6__WT__0.8,0.555555555555556
482,WT,7,482__MOUSE PRL__7__WT__0.8,0.5
482,WT,8,482__MOUSE PRL__8__WT__0.8,0.477777777777778
482,WT,9,482__MOUSE PRL__9__WT__0.8,0.455555555555556
483,NL3,10,483__MOUSE PRL__10__NL3__0.8,0.411111111111111
483,NL3,1,483__MOUSE PRL__1__NL3__0.8,0.444444444444444
483,NL3,2,483__MOUSE PRL__2__NL3__0.8,0.477777777777778
483,NL3,3,483__MOUSE PRL__3__NL3__0.8,0.544444444444444
483,NL3,4,483__MOUSE PRL__4__NL3__0.8,0.422222222222222
483,NL3,5,483__MOUSE PRL__5__NL3__0.8,0.522222222222222
483,NL3,6,483__MOUSE PRL__6__NL3__0.8,0.366666666666667
483,NL3,7,483__MOUSE PRL__7__NL3__0.8,0.522222222222222
483,NL3,8,483__MOUSE PRL__8__NL3__0.8,0.411111111111111
483,NL3,9,483__MOUSE PRL__9__NL3__0.8,0.511111111111111
484,NL3,10,484__MOUSE PRL__10__NL3__0.8,0.577777777777778
484,NL3,1,484__MOUSE PRL__1__NL3__0.8,0.444444444444444
484,NL3,2,484__MOUSE PRL__2__NL3__0.8,0.522222222222222
484,NL3,3,484__MOUSE PRL__3__NL3__0.8,0.466666666666667
484,NL3,4,484__MOUSE PRL__4__NL3__0.8,0.488888888888889
484,NL3,5,484__MOUSE PRL__5__NL3__0.8,0.566666666666667
484,NL3,6,484__MOUSE PRL__6__NL3__0.8,0.533333333333333
484,NL3,7,484__MOUSE PRL__7__NL3__0.8,0.588888888888889
484,NL3,8,484__MOUSE PRL__8__NL3__0.8,0.544444444444444
484,NL3,9,484__MOUSE PRL__9__NL3__0.8,0.522222222222222
485,NL3,10,485__MOUSE PRL__10__NL3__0.8,0.466666666666667
485,NL3,1,485__MOUSE PRL__1__NL3__0.8,0.533333333333333
485,NL3,2,485__MOUSE PRL__2__NL3__0.8,0.4
485,NL3,3,485__MOUSE PRL__3__NL3__0.8,0.488888888888889
485,NL3,4,485__MOUSE PRL__4__NL3__0.8,0.477777777777778
485,NL3,5,485__MOUSE PRL__5__NL3__0.8,0.522222222222222
485,NL3,6,485__MOUSE PRL__6__NL3__0.8,0.522222222222222
485,NL3,7,485__MOUSE PRL__7__NL3__0.8,0.544444444444444
485,NL3,8,485__MOUSE PRL__8__NL3__0.8,0.511111111111111
485,NL3,9,485__MOUSE PRL__9__NL3__0.8,0.522222222222222
494,NL3,10,494__MOUSE PRL__10__NL3__0.8,0.466666666666667
494,NL3,1,494__MOUSE PRL__1__NL3__0.8,0.522222222222222
494,NL3,2,494__MOUSE PRL__2__NL3__0.8,0.411111111111111
494,NL3,3,494__MOUSE PRL__3__NL3__0.8,0.466666666666667
494,NL3,4,494__MOUSE PRL__4__NL3__0.8,0.511111111111111
494,NL3,5,494__MOUSE PRL__5__NL3__0.8,0.433333333333333
494,NL3,6,494__MOUSE PRL__6__NL3__0.8,0.344444444444444
494,NL3,7,494__MOUSE PRL__7__NL3__0.8,0.444444444444444
494,NL3,8,494__MOUSE PRL__8__NL3__0.8,0.466666666666667
494,NL3,9,494__MOUSE PRL__9__NL3__0.8,0.488888888888889
495,WT,10,495__MOUSE PRL__10__WT__0.8,0.422222222222222
495,WT,1,495__MOUSE PRL__1__WT__0.8,0.477777777777778
495,WT,2,495__MOUSE PRL__2__WT__0.8,0.5
495,WT,3,495__MOUSE PRL__3__WT__0.8,0.588888888888889
495,WT,4,495__MOUSE PRL__4__WT__0.8,0.488888888888889
495,WT,5,495__MOUSE PRL__5__WT__0.8,0.466666666666667
495,WT,6,495__MOUSE PRL__6__WT__0.8,0.488888888888889
495,WT,7,495__MOUSE PRL__7__WT__0.8,0.522222222222222
495,WT,8,495__MOUSE PRL__8__WT__0.8,0.666666666666667
495,WT,9,495__MOUSE PRL__9__WT__0.8,0.488888888888889
496,NL3,10,496__MOUSE PRL__10__NL3__0.8,0.5
496,NL3,1,496__MOUSE PRL__1__NL3__0.8,0.488888888888889
496,NL3,2,496__MOUSE PRL__2__NL3__0.8,0.355555555555556
496,NL3,3,496__MOUSE PRL__3__NL3__0.8,0.4
496,NL3,4,496__MOUSE PRL__4__NL3__0.8,0.444444444444444
496,NL3,5,496__MOUSE PRL__5__NL3__0.8,0.466666666666667
496,NL3,6,496__MOUSE PRL__6__NL3__0.8,0.444444444444444
496,NL3,7,496__MOUSE PRL__7__NL3__0.8,0.477777777777778
496,NL3,8,496__MOUSE PRL__8__NL3__0.8,0.488888888888889
496,NL3,9,496__MOUSE PRL__9__NL3__0.8,0.488888888888889
497,WT,10,497__MOUSE PRL__10__WT__0.8,0.4
497,WT,1,497__MOUSE PRL__1__WT__0.8,0.488888888888889
497,WT,2,497__MOUSE PRL__2__WT__0.8,0.477777777777778
497,WT,3,497__MOUSE PRL__3__WT__0.8,0.466666666666667
497,WT,4,497__MOUSE PRL__4__WT__0.8,0.455555555555556
497,WT,5,497__MOUSE PRL__5__WT__0.8,0.522222222222222
497,WT,6,497__MOUSE PRL__6__WT__0.8,0.555555555555556
497,WT,7,497__MOUSE PRL__7__WT__0.8,0.5
497,WT,8,497__MOUSE PRL__8__WT__0.8,0.511111111111111
497,WT,9,497__MOUSE PRL__9__WT__0.8,0.5
498,NL3,10,498__MOUSE PRL__10__NL3__0.8,0.5
498,NL3,1,498__MOUSE PRL__1__NL3__0.8,0.455555555555556
498,NL3,2,498__MOUSE PRL__2__NL3__0.8,0.511111111111111
498,NL3,3,498__MOUSE PRL__3__NL3__0.8,0.577777777777778
498,NL3,4,498__MOUSE PRL__4__NL3__0.8,0.533333333333333
498,NL3,5,498__MOUSE PRL__5__NL3__0.8,0.555555555555556
498,NL3,6,498__MOUSE PRL__6__NL3__0.8,0.444444444444444
498,NL3,7,498__MOUSE PRL__7__NL3__0.8,0.566666666666667
498,NL3,8,498__MOUSE PRL__8__NL3__0.8,0.522222222222222
498,NL3,9,498__MOUSE PRL__9__NL3__0.8,0.522222222222222
499,NL3,10,499__MOUSE PRL__10__NL3__0.8,0.466666666666667
499,NL3,1,499__MOUSE PRL__1__NL3__0.8,0.477777777777778
499,NL3,2,499__MOUSE PRL__2__NL3__0.8,0.433333333333333
499,NL3,3,499__MOUSE PRL__3__NL3__0.8,0.522222222222222
499,NL3,4,499__MOUSE PRL__4__NL3__0.8,0.577777777777778
499,NL3,5,499__MOUSE PRL__5__NL3__0.8,0.522222222222222
499,NL3,6,499__MOUSE PRL__6__NL3__0.8,0.511111111111111
499,NL3,7,499__MOUSE PRL__7__NL3__0.8,0.422222222222222
499,NL3,8,499__MOUSE PRL__8__NL3__0.8,0.5
499,NL3,9,499__MOUSE PRL__9__NL3__0.8,0.5
511,NL3,10,511__MOUSE PRL__10__NL3__0.8,0.511111111111111
511,NL3,1,511__MOUSE PRL__1__NL3__0.8,0.511111111111111
511,NL3,2,511__MOUSE PRL__2__NL3__0.8,0.566666666666667
511,NL3,3,511__MOUSE PRL__3__NL3__0.8,0.555555555555556
511,NL3,4,511__MOUSE PRL__4__NL3__0.8,0.455555555555556
511,NL3,5,511__MOUSE PRL__5__NL3__0.8,0.555555555555556
511,NL3,6,511__MOUSE PRL__6__NL3__0.8,0.455555555555556
511,NL3,7,511__MOUSE PRL__7__NL3__0.8,0.433333333333333
511,NL3,8,511__MOUSE PRL__8__NL3__0.8,0.422222222222222
511,NL3,9,511__MOUSE PRL__9__NL3__0.8,0.444444444444444
512,WT,10,512__MOUSE PRL__10__WT__0.8,0.522222222222222
512,WT,1,512__MOUSE PRL__1__WT__0.8,0.5
512,WT,2,512__MOUSE PRL__2__WT__0.8,0.477777777777778
512,WT,3,512__MOUSE PRL__3__WT__0.8,0.433333333333333
512,WT,4,512__MOUSE PRL__4__WT__0.8,0.611111111111111
512,WT,5,512__MOUSE PRL__5__WT__0.8,0.522222222222222
512,WT,6,512__MOUSE PRL__6__WT__0.8,0.477777777777778
512,WT,7,512__MOUSE PRL__7__WT__0.8,0.555555555555556
512,WT,8,512__MOUSE PRL__8__WT__0.8,0.533333333333333
512,WT,9,512__MOUSE PRL__9__WT__0.8,0.488888888888889
513,WT,10,513__MOUSE PRL__10__WT__0.8,0.555555555555556
513,WT,1,513__MOUSE PRL__1__WT__0.8,0.566666666666667
513,WT,2,513__MOUSE PRL__2__WT__0.8,0.555555555555556
513,WT,3,513__MOUSE PRL__3__WT__0.8,0.477777777777778
513,WT,4,513__MOUSE PRL__4__WT__0.8,0.388888888888889
513,WT,5,513__MOUSE PRL__5__WT__0.8,0.511111111111111
513,WT,6,513__MOUSE PRL__6__WT__0.8,0.511111111111111
513,WT,7,513__MOUSE PRL__7__WT__0.8,0.511111111111111
513,WT,8,513__MOUSE PRL__8__WT__0.8,0.488888888888889
513,WT,9,513__MOUSE PRL__9__WT__0.8,0.477777777777778
522,NL3,10,522__MOUSE PRL__10__NL3__0.8,0.533333333333333
522,NL3,1,522__MOUSE PRL__1__NL3__0.8,0.4
522,NL3,2,522__MOUSE PRL__2__NL3__0.8,0.455555555555556
522,NL3,3,522__MOUSE PRL__3__NL3__0.8,0.544444444444444
522,NL3,4,522__MOUSE PRL__4__NL3__0.8,0.511111111111111
522,NL3,5,522__MOUSE PRL__5__NL3__0.8,0.488888888888889
522,NL3,6,522__MOUSE PRL__6__NL3__0.8,0.511111111111111
522,NL3,7,522__MOUSE PRL__7__NL3__0.8,0.466666666666667
522,NL3,8,522__MOUSE PRL__8__NL3__0.8,0.522222222222222
522,NL3,9,522__MOUSE PRL__9__NL3__0.8,0.511111111111111
523,NL3,10,523__MOUSE PRL__10__NL3__0.8,0.588888888888889
523,NL3,1,523__MOUSE PRL__1__NL3__0.8,0.455555555555556
523,NL3,2,523__MOUSE PRL__2__NL3__0.8,0.488888888888889
523,NL3,3,523__MOUSE PRL__3__NL3__0.8,0.477777777777778
523,NL3,4,523__MOUSE PRL__4__NL3__0.8,0.4
523,NL3,5,523__MOUSE PRL__5__NL3__0.8,0.466666666666667
523,NL3,6,523__MOUSE PRL__6__NL3__0.8,0.555555555555556
523,NL3,7,523__MOUSE PRL__7__NL3__0.8,0.477777777777778
523,NL3,8,523__MOUSE PRL__8__NL3__0.8,0.522222222222222
523,NL3,9,523__MOUSE PRL__9__NL3__0.8,0.6
524,WT,10,524__MOUSE PRL__10__WT__0.8,0.544444444444444
524,WT,1,524__MOUSE PRL__1__WT__0.8,0.5
524,WT,2,524__MOUSE PRL__2__WT__0.8,0.6
524,WT,3,524__MOUSE PRL__3__WT__0.8,0.466666666666667
524,WT,4,524__MOUSE PRL__4__WT__0.8,0.588888888888889
524,WT,5,524__MOUSE PRL__5__WT__0.8,0.533333333333333
524,WT,6,524__MOUSE PRL__6__WT__0.8,0.533333333333333
524,WT,7,524__MOUSE PRL__7__WT__0.8,0.488888888888889
524,WT,8,524__MOUSE PRL__8__WT__0.8,0.555555555555556
524,WT,9,524__MOUSE PRL__9__WT__0.8,0.488888888888889
525,WT,10,525__MOUSE PRL__10__WT__0.8,0.533333333333333
525,WT,1,525__MOUSE PRL__1__WT__0.8,0.555555555555556
525,WT,2,525__MOUSE PRL__2__WT__0.8,0.566666666666667
525,WT,3,525__MOUSE PRL__3__WT__0.8,0.522222222222222
525,WT,4,525__MOUSE PRL__4__WT__0.8,0.511111111111111
525,WT,5,525__MOUSE PRL__5__WT__0.8,0.488888888888889
525,WT,6,525__MOUSE PRL__6__WT__0.8,0.522222222222222
525,WT,7,525__MOUSE PRL__7__WT__0.8,0.522222222222222
525,WT,8,525__MOUSE PRL__8__WT__0.8,0.455555555555556
525,WT,9,525__MOUSE PRL__9__WT__0.8,0.433333333333333
531,WT,10,531__MOUSE PRL__10__WT__0.8,0.522222222222222
531,WT,1,531__MOUSE PRL__1__WT__0.8,0.4
531,WT,2,531__MOUSE PRL__2__WT__0.8,0.477777777777778
531,WT,3,531__MOUSE PRL__3__WT__0.8,0.444444444444444
531,WT,4,531__MOUSE PRL__4__WT__0.8,0.455555555555556
531,WT,5,531__MOUSE PRL__5__WT__0.8,0.455555555555556
531,WT,6,531__MOUSE PRL__6__WT__0.8,0.477777777777778
531,WT,7,531__MOUSE PRL__7__WT__0.8,0.488888888888889
531,WT,8,531__MOUSE PRL__8__WT__0.8,0.533333333333333
531,WT,9,531__MOUSE PRL__9__WT__0.8,0.455555555555556
532,WT,10,532__MOUSE PRL__10__WT__0.8,0.622222222222222
532,WT,1,532__MOUSE PRL__1__WT__0.8,0.5
532,WT,2,532__MOUSE PRL__2__WT__0.8,0.577777777777778
532,WT,3,532__MOUSE PRL__3__WT__0.8,0.466666666666667
532,WT,4,532__MOUSE PRL__4__WT__0.8,0.477777777777778
532,WT,5,532__MOUSE PRL__5__WT__0.8,0.477777777777778
532,WT,6,532__MOUSE PRL__6__WT__0.8,0.455555555555556
532,WT,7,532__MOUSE PRL__7__WT__0.8,0.511111111111111
532,WT,8,532__MOUSE PRL__8__WT__0.8,0.511111111111111
532,WT,9,532__MOUSE PRL__9__WT__0.8,0.511111111111111
