mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,1,482__MOUSE PRL__1__WT__0.8,62.1830978380636,46.8104507269297,48.3116002205568,48.2987213850086,48.1169101480299,48.1145941074712,58.4875417364552
482,WT,2,482__MOUSE PRL__2__WT__0.8,60.5710500306531,46.641730391088,49.5847727812409,49.5847727812409,49.2787034509609,49.2787034509606,55.1571153846561
482,WT,3,482__MOUSE PRL__3__WT__0.8,62.361022198642,47.1960567554754,54.64703257435,53.9497027624614,49.3421442755205,48.8342746553509,51.8615016077847
482,WT,4,482__MOUSE PRL__4__WT__0.8,62.3832462502151,54.219126051905,56.2828607115783,56.2510362026142,53.5353410660981,53.5168865884225,56.8364317927274
482,WT,5,482__MOUSE PRL__5__WT__0.8,62.361022198642,31.1186551679885,36.6187617539495,36.6012303416467,34.5671381673786,34.5653371131933,46.5277742772733
482,WT,6,482__MOUSE PRL__6__WT__0.8,61.8265418935791,48.8267731054029,49.6237351068041,49.593091433489,48.2191979527039,48.1557459068586,53.0012114531026
482,WT,7,482__MOUSE PRL__7__WT__0.8,62.3832462502151,49.4047768099907,51.4027950034361,51.4027898269007,50.0630284397629,50.0630284402416,55.3918552548764
482,WT,8,482__MOUSE PRL__8__WT__0.8,62.2943280743479,52.8452232763107,55.1995862822727,55.1241213957254,53.9650081994284,53.8361455594363,57.3260935029334
482,WT,9,482__MOUSE PRL__9__WT__0.8,62.0272209872465,52.5726240328811,52.3216739046439,52.3173295550293,50.640502063344,50.6405020633473,59.0189028389177
482,WT,10,482__MOUSE PRL__10__WT__0.8,62.2943280743479,54.3331094723384,53.456387637196,53.4339240557841,53.1262001139371,53.1114560781896,58.5780487504417
483,NL3,1,483__MOUSE PRL__1__NL3__0.8,61.8265418935791,57.7544557306344,59.8177431196951,59.450643012689,57.789825183584,57.5675914730775,58.4533009394575
483,NL3,2,483__MOUSE PRL__2__NL3__0.8,62.2943280743479,50.112923734181,45.298452102869,44.9234953360514,44.1006171386512,43.5571671564118,55.0664264526643
483,NL3,3,483__MOUSE PRL__3__NL3__0.8,62.0272209872465,43.516876075044,45.3916087644233,44.7049898809674,43.9219760900364,43.3639272087273,51.7503065317836
483,NL3,4,483__MOUSE PRL__4__NL3__0.8,61.289922893707,55.172397287423,54.3179035381111,52.3349374829015,52.5976860696368,51.4094495204688,56.7200092756068
483,NL3,5,483__MOUSE PRL__5__NL3__0.8,62.2943280743479,54.2781533924264,59.319032210085,58.7914077794151,54.6454383305426,54.4679247722085,56.1662346916593
483,NL3,6,483__MOUSE PRL__6__NL3__0.8,59.1441985345807,54.2320028390809,56.9872609951365,56.8624095255994,52.7014577784625,52.5913255957663,53.1996746110225
483,NL3,7,483__MOUSE PRL__7__NL3__0.8,62.2943280743479,59.6185466032554,57.5740323680997,57.4666632900112,57.5700404282589,57.4638577470118,60.887221576818
483,NL3,8,483__MOUSE PRL__8__NL3__0.8,60.9534361434451,53.2115917269971,54.566676458816,54.0376511438662,53.8755012599688,53.5430532901055,57.4041778049471
483,NL3,9,483__MOUSE PRL__9__NL3__0.8,62.361022198642,53.8955983635068,56.1812821511808,55.9838224854093,53.4484153453715,53.3755318696553,56.1314228936112
483,NL3,10,483__MOUSE PRL__10__NL3__0.8,60.9534361434451,52.2090873879272,56.2980218274121,56.298021827412,53.0351765347238,53.0351765347241,54.8303898688702
484,NL3,1,484__MOUSE PRL__1__NL3__0.8,61.8265418935791,51.2197385725832,52.1449177627371,52.1449177627362,50.0482289674644,50.0482289674709,54.9888161205346
484,NL3,2,484__MOUSE PRL__2__NL3__0.8,62.2943280743479,53.1002292624132,60.3281666790835,59.4347503634888,53.6706597796701,53.3287796963136,53.6981610376959
484,NL3,3,484__MOUSE PRL__3__NL3__0.8,62.1830978380636,60.7496190691054,62.309039249847,61.787566665311,60.6465843141312,60.4021261832011,59.8110642763897
484,NL3,4,484__MOUSE PRL__4__NL3__0.8,62.361022198642,51.9709015962788,55.0776924770177,55.0776924770165,51.2766491050767,51.1915698086907,58.0086180078336
484,NL3,5,484__MOUSE PRL__5__NL3__0.8,61.5808588615471,51.6310943459257,54.9309373151175,53.9379915151822,49.989123598019,49.3212682568842,54.5686438005928
484,NL3,6,484__MOUSE PRL__6__NL3__0.8,62.1830978380636,56.7419307297829,59.9501757035999,59.7039994800033,56.3918164597785,56.3589056237044,55.6618822065663
484,NL3,7,484__MOUSE PRL__7__NL3__0.8,60.9534361434451,53.1002292624132,57.2368889799416,55.6725849261175,52.305230076765,51.7366051038812,52.9152440669291
484,NL3,8,484__MOUSE PRL__8__NL3__0.8,62.0272209872465,46.1397158873804,52.6299586981027,52.6070071230997,47.9579896011356,47.957539560897,50.6228336227733
484,NL3,9,484__MOUSE PRL__9__NL3__0.8,62.2943280743479,57.5660352839677,58.3703737400039,58.2387125816511,57.2540625749272,57.2060316579353,59.1020808610612
484,NL3,10,484__MOUSE PRL__10__NL3__0.8,61.289922893707,51.7234271141423,56.2979619940895,56.1045922490182,52.2659640651107,52.1588319647809,54.2006726766504
485,NL3,1,485__MOUSE PRL__1__NL3__0.8,62.1830978380636,60.7079578170248,61.1685432345231,60.4809993816812,60.25138551153,59.5617764423929,60.6323184470485
485,NL3,2,485__MOUSE PRL__2__NL3__0.8,60.5710500306531,60.0086369152141,57.2484736903274,57.0292454559509,54.5614830148441,54.3034560336618,59.3091856340603
