mouse_id,genotype,session_id,seg_id,model,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,npar,logLik,nll,aic,bic
482,WT,1,482__MOUSE PRL__1__WT__0.8,random,,,,,,,,,,,,62.1830978380636,126.366195676127,128.866005346458
482,WT,1,482__MOUSE PRL__1__WT__0.8,wsls,,,,,,,0.793650808187212,0.769230788384451,,,,46.8104507269297,97.6209014538593,102.62052079452
482,WT,1,482__MOUSE PRL__1__WT__0.8,q-learning,0.999954602131298,1.30993203856806,,,,,,,,,,48.3116002205568,100.623200441114,105.622819781774
482,WT,1,482__MOUSE PRL__1__WT__0.8,assymetric q-learning,,1.33899602707657,0.840801959272158,0.999954602131298,,,,,,,,48.2987213850086,102.597442770017,110.096871781008
482,WT,1,482__MOUSE PRL__1__WT__0.8,q-learning with stickiness,0.999954602131298,1.32476105962608,,,-0.309882734174077,0.97964072855618,,,,,,48.1169101480299,104.23382029606,114.233058977381
482,WT,1,482__MOUSE PRL__1__WT__0.8,q-learning dual-alpha with stickiness,,1.34753462576118,0.903483218144421,0.999954602131298,-0.298754510308505,0.905666118705084,,,,,,48.1145941074712,106.229188214942,118.728236566594
482,WT,1,482__MOUSE PRL__1__WT__0.8,hmm,,,,,,,,,0.370786516853933,10,-58.4875417364552,58.4875417364552,136.97508347291,161.973180176213
482,WT,2,482__MOUSE PRL__2__WT__0.8,random,,,,,,,,,,,,60.5710500306531,123.142100061306,125.641909731636
482,WT,2,482__MOUSE PRL__2__WT__0.8,wsls,,,,,,,0.803030319008944,0.739130450198417,,,,46.641730391088,97.283460782176,102.283080122837
482,WT,2,482__MOUSE PRL__2__WT__0.8,q-learning,0.999954602131298,1.23676684913711,,,,,,,,,,49.5847727812409,103.169545562482,108.169164903142
482,WT,2,482__MOUSE PRL__2__WT__0.8,assymetric q-learning,,1.23676679469953,0.999954602131298,0.999954602131298,,,,,,,,49.5847727812409,105.169545562482,112.668974573473
482,WT,2,482__MOUSE PRL__2__WT__0.8,q-learning with stickiness,0.999954602131298,1.07137500013574,,,0.000628978236312685,0.957340762817434,,,,,,49.2787034509609,106.557406901922,116.556645583243
482,WT,2,482__MOUSE PRL__2__WT__0.8,q-learning dual-alpha with stickiness,,1.07137498477641,0.999954602131298,0.999954602131298,0.000628885182870023,0.957341563628789,,,,,,49.2787034509606,108.557406901921,121.056455253573
482,WT,2,482__MOUSE PRL__2__WT__0.8,hmm,,,,,,,,,0.0786516853932584,10,-55.1571153846561,55.1571153846561,130.314230769312,155.312327472615
482,WT,3,482__MOUSE PRL__3__WT__0.8,random,,,,,,,,,,,,62.361022198642,126.722044397284,129.221854067614
482,WT,3,482__MOUSE PRL__3__WT__0.8,wsls,,,,,,,0.844827595285317,0.483870968091087,,,,47.1960567554754,98.3921135109509,103.391732851611
482,WT,3,482__MOUSE PRL__3__WT__0.8,q-learning,0.999954602131298,0.974569370385809,,,,,,,,,,54.64703257435,113.2940651487,118.29368448936
482,WT,3,482__MOUSE PRL__3__WT__0.8,assymetric q-learning,,148.413159102577,0.001240019822497,0.999954602131298,,,,,,,,53.9497027624614,113.899405524923,121.398834535914
482,WT,3,482__MOUSE PRL__3__WT__0.8,q-learning with stickiness,0.999954602131298,0.664219789241214,,,0.762305261561375,0.449471488744753,,,,,,49.3421442755205,106.684288551041,116.683527232362
482,WT,3,482__MOUSE PRL__3__WT__0.8,q-learning dual-alpha with stickiness,,148.413159102577,0.000891437349167898,0.999954602131298,0.727732161291377,0.569973112585148,,,,,,48.8342746553509,107.668549310702,120.167597662353
482,WT,3,482__MOUSE PRL__3__WT__0.8,hmm,,,,,,,,,0.269662921348315,10,-51.8615016077847,51.8615016077847,123.723003215569,148.721099918872
482,WT,4,482__MOUSE PRL__4__WT__0.8,random,,,,,,,,,,,,62.3832462502151,126.76649250043,129.26630217076
482,WT,4,482__MOUSE PRL__4__WT__0.8,wsls,,,,,,,0.758620705459986,0.51612903360755,,,,54.219126051905,112.43825210381,117.437871444471
482,WT,4,482__MOUSE PRL__4__WT__0.8,q-learning,0.946007485086105,0.845870625835287,,,,,,,,,,56.2828607115783,116.565721423157,121.565340763817
482,WT,4,482__MOUSE PRL__4__WT__0.8,assymetric q-learning,,0.855377342284309,0.999954602131298,0.856594394616233,,,,,,,,56.2510362026142,118.502072405228,126.001501416219
482,WT,4,482__MOUSE PRL__4__WT__0.8,q-learning with stickiness,0.948425222709437,0.856624205502344,,,0.697674893261581,-1.72602588901449,,,,,,53.5353410660981,115.070682132196,125.069920813517
482,WT,4,482__MOUSE PRL__4__WT__0.8,q-learning dual-alpha with stickiness,,0.863274176457368,0.999954602131298,0.882382405423055,0.69717973553156,-1.73160189905668,,,,,,53.5168865884225,117.033773176845,129.532821528496
482,WT,4,482__MOUSE PRL__4__WT__0.8,hmm,,,,,,,,,0.337078651685393,10,-56.8364317927274,56.8364317927274,133.672863585455,158.670960288757
482,WT,5,482__MOUSE PRL__5__WT__0.8,random,,,,,,,,,,,,62.361022198642,126.722044397284,129.221854067614
482,WT,5,482__MOUSE PRL__5__WT__0.8,wsls,,,,,,,0.926470588765016,0.714285728234961,,,,31.1186551679885,66.237310335977,71.2369296766376
482,WT,5,482__MOUSE PRL__5__WT__0.8,q-learning,0.999954602131298,2.19728193992108,,,,,,,,,,36.6187617539495,77.2375235078991,82.2371428485596
482,WT,5,482__MOUSE PRL__5__WT__0.8,assymetric q-learning,,2.23247242134498,0.925160578511606,0.999954602131298,,,,,,,,36.6012303416467,79.2024606832934,86.7018896942842
482,WT,5,482__MOUSE PRL__5__WT__0.8,q-learning with stickiness,0.999954602131298,1.67087241506325,,,-0.677331360941775,4.83953247849143,,,,,,34.5671381673786,77.1342763347572,87.1335150160782
482,WT,5,482__MOUSE PRL__5__WT__0.8,q-learning dual-alpha with stickiness,,1.68634469184233,0.96380555503841,0.999954602131298,-0.672560272012109,4.81915301803477,,,,,,34.5653371131933,79.1306742263867,91.629722578038
482,WT,5,482__MOUSE PRL__5__WT__0.8,hmm,,,,,,,,,0.134831460674157,10,-46.5277742772733,46.5277742772733,113.055548554547,138.053645257849
482,WT,6,482__MOUSE PRL__6__WT__0.8,random,,,,,,,,,,,,61.8265418935791,125.653083787158,128.152893457488
482,WT,6,482__MOUSE PRL__6__WT__0.8,wsls,,,,,,,0.827586213828525,0.51612902397668,,,,48.8267731054029,101.653546210806,106.653165551466
482,WT,6,482__MOUSE PRL__6__WT__0.8,q-learning,0.672443806463055,1.45797468559897,,,,,,,,,,49.6237351068041,103.247470213608,108.247089554269
482,WT,6,482__MOUSE PRL__6__WT__0.8,assymetric q-learning,,1.51331432590808,0.546639576402353,0.723198958322833,,,,,,,,49.593091433489,105.186182866978,112.685611877969
482,WT,6,482__MOUSE PRL__6__WT__0.8,q-learning with stickiness,0.665568290558856,1.23523900459616,,,0.50109147462967,-0.409870088833171,,,,,,48.2191979527039,104.438395905408,114.437634586729
482,WT,6,482__MOUSE PRL__6__WT__0.8,q-learning dual-alpha with stickiness,,1.32225031436439,0.494760379792375,0.748243691150698,0.515296534788637,-0.536394323286444,,,,,,48.1557459068586,106.311491813717,118.810540165369
482,WT,6,482__MOUSE PRL__6__WT__0.8,hmm,,,,,,,,,0.179775280898876,10,-53.0012114531026,53.0012114531026,126.002422906205,151.000519609508
482,WT,7,482__MOUSE PRL__7__WT__0.8,random,,,,,,,,,,,,62.3832462502151,126.76649250043,129.26630217076
482,WT,7,482__MOUSE PRL__7__WT__0.8,wsls,,,,,,,0.806451627578574,0.592592598999135,,,,49.4047768099907,102.809553619981,107.809172960642
482,WT,7,482__MOUSE PRL__7__WT__0.8,q-learning,0.999954602131298,1.19214899276483,,,,,,,,,,51.4027950034361,106.805590006872,111.805209347533
482,WT,7,482__MOUSE PRL__7__WT__0.8,assymetric q-learning,,1.1924725709716,0.999954602131298,0.998628824619167,,,,,,,,51.4027898269007,108.805579653801,116.305008664792
482,WT,7,482__MOUSE PRL__7__WT__0.8,q-learning with stickiness,0.999954602131298,0.97515618554668,,,0.381476379655119,0.291062756984927,,,,,,50.0630284397629,108.126056879526,118.125295560847
