seg_id,i,mouse_id,session_type,session_id,genotype,block_prob,model,nll,aic,bic,p_right,fit_status,alpha,beta,alpha_pos,alpha_neg,kappa,p_win_stay,p_loss_switch,p_switch,state_choice_prob,logLik,npar,message,aic_winner,bic_winner
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,random,62.29432807,126.5886561,129.0884658,0.477777778,ok,,,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning,45.49602557,94.99205114,99.99167048,,ok,0.266600239,2.987901624,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,assymetric q-learning,45.49602582,96.99205163,104.4914806,,ok,,2.98789557,0.266601052,0.05,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning dual-alpha with stickiness,44.94758243,97.89516485,107.8944035,,ok,,2.745818501,0.254177071,0.1,0.303621887,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning with stickiness,44.94758243,95.89516485,103.3945939,,ok,0.254177071,2.745818501,,,0.303621887,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,sarsa,44.16311043,92.32622086,97.3258402,,ok,0.893165996,1.107337006,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,sarsa with stickiness,44.1551839,94.31036781,101.8097968,,ok,0.8732302,1.10410273,,,0.040119426,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,sarsa dual-alpha,43.43636143,92.87272286,100.3721519,,ok,,1.511252993,0.620620685,0.999954602,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,sarsa dual-alpha with stickiness,44.69314132,97.38628264,107.3855213,,ok,,2.325193745,0.268085498,0.100046569,0.226794076,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,wsls,43.30133718,90.60267435,95.60229369,,ok,,,,,,0.857142871,0.653846175,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,hmm,53.31844775,126.6368955,151.6349922,,ok,,,,,,,,0.134831461,1 0.1;2 0.95,-53.31844775,10,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,random,62.02722099,126.054442,128.5542516,0.544444444,ok,,,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning,45.37815532,94.75631064,99.75592999,,ok,0.230802829,3.340576704,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,assymetric q-learning,45.37815532,96.75631064,104.2557397,,ok,,3.340576704,0.230802829,0.05,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning dual-alpha with stickiness,42.98491648,93.96983296,103.9690716,,ok,,2.715888859,0.225067715,0.1,0.622422086,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning with stickiness,42.98491648,91.96983296,99.46926197,,ok,0.225067715,2.715888859,,,0.622422086,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,sarsa,44.62851425,93.2570285,98.25664784,,ok,0.642886545,1.340488141,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,sarsa with stickiness,43.03545686,92.07091371,99.57034272,,ok,0.310932256,1.816725272,,,0.546848517,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,sarsa dual-alpha,43.79834766,93.59669532,101.0961243,,ok,,1.567931899,0.575821861,0.999954602,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,sarsa dual-alpha with stickiness,43.03633397,94.07266794,104.0719066,,ok,,2.289342149,0.229074982,0.050000676,0.570281238,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,wsls,39.42399782,82.84799565,87.84761499,,ok,,,,,,0.901639356,0.571428575,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,hmm,49.37223296,118.7444659,143.7425626,,ok,,,,,,,,0.157303371,1 0.925;2 0,-49.37223296,10,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,random,62.29432807,126.5886561,129.0884658,0.477777778,ok,,,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,q-learning,31.35885828,66.71771656,71.7173359,,ok,0.140322444,12.36207296,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,assymetric q-learning,31.35885781,68.71771561,76.21714462,,ok,,12.36209395,0.140322172,0.1,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,q-learning dual-alpha with stickiness,31.2134194,70.42683879,80.42607747,,ok,,11.72556852,0.140218502,0.05,0.188961607,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,q-learning with stickiness,31.2134194,68.42683879,75.9262678,,ok,0.140218502,11.72556852,,,0.188961607,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,sarsa,31.3494732,66.69894641,71.69856575,,ok,0.186266875,8.980643054,,,,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,sarsa with stickiness,31.21400749,68.42801497,75.92744398,,ok,0.173407519,9.159769389,,,0.17021695,,,,,,,,wsls,wsls
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,sarsa dual-alpha,31.3494732,68.69894641,76.19837542,,ok,,8.980643054,0.186266875,0.05,,,,,,,,,wsls,wsls
