"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.815891989410004,0.0433568385430916,18.8180692325872,5.37062556978943e-79,0.730914147382026,0.900869831437981,"DRL","Beta"
"fixed","cond","genotypeNL3",-0.00645436267382012,0.0598689007373469,-0.107808270977553,0.914147781842122,-0.123795251913023,0.110886526565383,"DRL","Beta"
"fixed","cond","ReferenceWT",0.601377739333223,0.051671747292289,11.6384246875075,2.62825133300167e-31,0.500102975622081,0.702652503044364,"DRL OT","Beta"
"fixed","cond","genotypeNL3",0.145080244653146,0.0754298661117222,1.92337932084172,0.0544324294302825,-0.00275957628450746,0.2929200655908,"DRL OT","Beta"
"fixed","cond","ReferenceWT",0.962479446372851,0.0543433059060593,17.71109486855,3.44309317864975e-70,0.855968523996132,1.06899036874957,"PRL","Beta"
"fixed","cond","genotypeNL3",-0.00730819358944677,0.0764162850980876,-0.095636598665664,0.923809196879283,-0.157081360214043,0.14246497303515,"PRL","Beta"
"fixed","cond","ReferenceWT",1.02153006134368,0.0675761606104332,15.1167224079605,1.25642380193171e-51,0.889083220333733,1.15397690235362,"PRL OT","Beta"
"fixed","cond","genotypeNL3",-0.0130061852834746,0.0932700419443728,-0.139446546954827,0.889097292485408,-0.195812108330985,0.169799737764036,"PRL OT","Beta"
"fixed","cond","ReferenceWT",0.91657066669374,0.0709499477914178,12.9185530817911,3.5373081375168e-38,0.777511324317564,1.05563000906992,"PRL Baselining","Beta"
"fixed","cond","genotypeNL3",0.0866533101718988,0.101540447276658,0.85338712302303,0.393444660051509,-0.112362309464439,0.285668929808237,"PRL Baselining","Beta"
"fixed","cond","ReferenceWT",1.20180796123544,0.0929329874186706,12.9319845903715,2.97050829851188e-38,1.01966265291913,1.38395326955174,"PRL Probe 1","Beta"
"fixed","cond","genotypeNL3",-0.172907473820921,0.116666245891532,-1.48206940661892,0.138321828110001,-0.401569113979818,0.0557541663379771,"PRL Probe 1","Beta"
"fixed","cond","ReferenceWT",0.933370713597516,0.0897797520395367,10.3962273496421,2.57944433044506e-25,0.757405633059088,1.10933579413594,"PRL Probe 2","Beta"
"fixed","cond","genotypeNL3",0.0473833544708087,0.120800673695378,0.392244124319166,0.694877844506899,-0.189381615280307,0.284148324221924,"PRL Probe 2","Beta"
"fixed","cond","ReferenceWT",1.23665827385141,0.100952534555888,12.2498982248612,1.68206878628976e-34,1.03879494197383,1.43452160572898,"PRL Probe 3","Beta"
"fixed","cond","genotypeNL3",-0.233657521585248,0.133971545257001,-1.74408320167552,0.0811445827755405,-0.496236925242148,0.0289218820716526,"PRL Probe 3","Beta"
