"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",1.2144866918285,0.0860163374924898,14.1192560301063,2.89026459642845e-45,1.04589776826117,1.38307561539582,"DRL","Win-Stay"
"fixed","cond","genotypeNL3",-0.216100500660219,0.120390244222469,-1.79500010200899,0.0726536836837507,-0.452061043426238,0.0198600421058014,"DRL","Win-Stay"
"fixed","cond","ReferenceWT",2.03070678333579,0.11183796985335,18.1575790941001,1.1184934910281e-73,1.81150839031915,2.24990517635243,"DRL OT","Win-Stay"
"fixed","cond","genotypeNL3",-0.347533216779144,0.155922696930184,-2.22888151386167,0.0258217894218562,-0.653136087134659,-0.0419303464236285,"DRL OT","Win-Stay"
"fixed","cond","ReferenceWT",1.22562534638076,0.0709905383185016,17.2646295606599,8.68594158389842e-67,1.08648644803339,1.36476424472814,"PRL","Win-Stay"
"fixed","cond","genotypeNL3",-0.11025026080913,0.100196320713277,-1.10034240802737,0.271182961319631,-0.306631440790578,0.0861309191723181,"PRL","Win-Stay"
"fixed","cond","ReferenceWT",1.26110772009866,0.0661796927134015,19.0558110561199,5.87982150721752e-81,1.13139790587246,1.39081753432485,"PRL OT","Win-Stay"
"fixed","cond","genotypeNL3",-0.270791289487294,0.092834038876918,-2.91693965665241,0.00353484152299144,-0.452742662225444,-0.0888399167491431,"PRL OT","Win-Stay"
"fixed","cond","ReferenceWT",1.23597965445055,0.0724469929989072,17.0604686721669,2.9220146323211e-65,1.09398615738447,1.37797315151664,"PRL Baselining","Win-Stay"
"fixed","cond","genotypeNL3",-0.289970505123986,0.101627631512455,-2.85326442039976,0.00432725987537997,-0.489157002722507,-0.0907840075254657,"PRL Baselining","Win-Stay"
"fixed","cond","ReferenceWT",0.991635458653413,0.0776203456134462,12.7754579139832,2.24820651717175e-37,0.839502376783507,1.14376854052332,"PRL Probe 1","Win-Stay"
"fixed","cond","genotypeNL3",-0.215376876007702,0.109023856281127,-1.97550227403748,0.0482111768017092,-0.429059707774381,-0.00169404424102204,"PRL Probe 1","Win-Stay"
"fixed","cond","ReferenceWT",0.711521555012449,0.0468986493895717,15.1714721910661,5.46374299510798e-52,0.619601891285317,0.803441218739581,"PRL Probe 2","Win-Stay"
"fixed","cond","genotypeNL3",-0.185749324471264,0.0653550774092882,-2.84215598595351,0.00448095615712735,-0.313842922400296,-0.0576557265422315,"PRL Probe 2","Win-Stay"
"fixed","cond","ReferenceWT",1.35729097736187,0.0646621140594098,20.9905134885449,8.0076074385825e-98,1.23055556264121,1.48402639208254,"PRL Probe 3","Win-Stay"
"fixed","cond","genotypeNL3",-0.328531318136249,0.0889757447471927,-3.69236940999715,0.00022217443111303,-0.502920573338376,-0.154142062934122,"PRL Probe 3","Win-Stay"
