seg_id,i,mouse_id,session_type,session_id,group,block_prob,model,nll,aic,bic,p_right,fit_status,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,state_choice_prob,logLik,npar,ok_fit,aic_winner,bic_winner,n_ok,req_ok
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,random,62.2943280743479,126.588656148696,129.088465819026,0.477777777777778,ok,,,,,,,,,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning,41.8019530337334,87.6039060674668,92.6035254081273,,ok,0.655100591596398,2.23529274611404,,,,,,,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,assymetric q-learning,41.5414408678317,89.0828817356634,96.5823107466542,,ok,,2.40680996678779,0.441548209267724,0.830627604479557,,,,,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning with stickiness,40.6373758269364,89.2747516538728,99.2739903351939,,ok,0.578208831551496,2.07877936160118,,,-0.55823260715282,3.55732622442465,,,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,q-learning dual-alpha with stickiness,40.6172889794561,91.2345779589123,103.733626310564,,ok,,2.6716601804146,0.842834152101031,0.24146694831776,-0.892569628034787,5.27132251490613,,,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,wsls,43.3013371763066,90.6026743526131,95.6022936932736,,ok,,,,,,,0.857142863666592,0.653846163684238,,,,,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__1__WT__1,16,482,MOUSE DRL Overtraining,1,WT,1,hmm,53.3184482308209,126.636896461642,151.634993164944,,ok,,,,,,,,,0.134831460674157,1 0.95;2 0.1,-53.3184482308209,10,TRUE,q-learning,q-learning,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,random,62.0272209872465,126.054441974493,128.554251644823,0.544444444444444,ok,,,,,,,,,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning,43.3607504832557,90.7215009665113,95.7211203071718,,ok,0.738659252742006,1.96773917613268,,,,,,,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,assymetric q-learning,39.6486497817265,85.297299563453,92.7967285744438,,ok,,4.83795158211245,0.15214718528107,0.999954602131298,,,,,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning with stickiness,41.9320671699067,91.8641343398134,101.863373021134,,ok,0.731045175105242,1.52390287677806,,,0.448895003501563,0.612532940404119,,,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,q-learning dual-alpha with stickiness,39.0678611353903,88.1357222707806,100.634770622432,,ok,,4.61959050400198,0.151020752211223,0.999954602131298,0.392441310732828,-0.766036375587439,,,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,wsls,39.4239978235909,82.8479956471819,87.8476149878424,,ok,,,,,,,0.901639356036825,0.57142857694802,,,,,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__2__WT__1,17,482,MOUSE DRL Overtraining,2,WT,1,hmm,49.3722330494101,118.74446609882,143.742562802123,,ok,,,,,,,,,0.157303370786517,1 0.925;2 0,-49.3722330494101,10,TRUE,wsls,wsls,7,TRUE
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,random,62.2943280743479,126.588656148696,129.088465819026,0.477777777777778,ok,,,,,,,,,,,,,TRUE,q-learning dual-alpha with stickiness,wsls,7,TRUE
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,q-learning,26.9955337550273,57.9910675100546,62.9906868507151,,ok,0.883951764020573,3.19525108984813,,,,,,,,,,,TRUE,q-learning dual-alpha with stickiness,wsls,7,TRUE
482__MOUSE DRL Overtraining__3__WT__1,18,482,MOUSE DRL Overtraining,3,WT,1,assymetric q-learning,22.1426267950607,50.2852535901214,57.7846826011122,,ok,,148.413159102577,0.0113869047341131,0.999954602131298,,,,,,,,,TRUE,q-learning dual-alpha with stickiness,wsls,7,TRUE
